Team 1,Competition info,Date,Team 2,Score 1,Score 2,Bet Winner Home,Bet Draw,Bet Winner Away,Expected Goals xG Home,Expected Goals xG Away,Ball Possession Home,Ball Possession Away,Goal Attempts Home,Goal Attempts Away,Shots on Goal Home,Shots on Goal Away,Shots off Goal Home,Shots off Goal Away,Blocked Shots Home,Blocked Shots Away,Free Kicks Home,Free Kicks Away,Corner Kicks Home,Corner Kicks Away,Offsides Home,Offsides Away,Throwin Home,Throwin Away,Goalkeeper Saves Home,Goalkeeper Saves Away,Fouls Home,Fouls Away,Red Cards Home,Red Cards Away,Yellow Cards Home,Yellow Cards Away,Total Passes Home,Total Passes Away,Completed Passes Home,Completed Passes Away,Tackles Home,Tackles Away,Attacks Home,Attacks Away
Motherwell,SCOTLAND: Premiership - Round 29,18.03.2023 14:30,Rangers,2,4,11.00,5.50,1.30,0.82,3.71,23%,77%,3,28,2,10,1,12,0,6,13,6,1,3,0,1,12,19,6,0,9,12,1,0,3,1,216,699,128,630,18,13,21,65
Rangers,SCOTLAND: Scottish Cup - Quarter-finals,12.03.2023 15:00,Raith,3,0,1.06,11.00,29.00,0,0,64%,36%,24,3,8,2,9,1,7,0,5,11,18,0,0,0,15,11,2,5,10,6,0,0,2,3,0,0,0,0,0,0,96,19
Hibernian,SCOTLAND: Premiership - Round 27,08.03.2023 21:45,Rangers,1,4,5.25,4.20,1.57,0.37,4.15,37%,63%,4,31,1,11,2,8,1,12,8,13,3,7,0,3,18,23,7,0,15,5,0,0,2,0,338,573,253,498,13,18,22,69
Rangers,SCOTLAND: Premiership - Round 28,04.03.2023 17:00,Kilmarnock,3,1,1.18,7.50,13.00,3.55,0.79,74%,26%,21,3,8,2,6,1,7,0,11,18,7,4,1,2,19,10,1,5,19,13,0,0,1,2,656,220,578,145,16,13,70,24
Rangers,SCOTLAND: League Cup - Play Offs - Final,26.02.2023 17:00,Celtic,1,2,3.20,3.60,2.15,0,0,44%,56%,11,14,2,5,4,8,5,1,20,19,8,4,3,5,26,26,3,1,16,17,0,0,6,4,0,0,0,0,0,0,51,53
Livingston,SCOTLAND: Premiership - Round 26,18.02.2023 17:00,Rangers,0,3,8.00,5.00,1.36,0.97,2.81,35%,65%,6,13,1,8,3,3,2,2,12,10,2,9,0,4,15,24,5,1,15,8,1,0,4,1,398,568,208,482,16,13,30,59
Rangers,SCOTLAND: Scottish Cup - 1/8-finals,12.02.2023 18:00,Partick Thistle,3,2,1.08,9.50,23.00,0,0,63%,37%,15,7,8,4,5,2,2,1,8,11,13,1,0,0,19,19,2,5,12,9,0,0,2,6,0,0,0,0,0,0,113,47
Rangers,SCOTLAND: Premiership - Round 25,04.02.2023 17:00,Ross County,2,1,1.13,9.50,17.00,0,0,70%,30%,26,10,7,3,13,4,6,3,9,8,4,6,0,2,24,20,2,5,8,9,0,0,4,2,620,261,545,165,10,22,76,34
Hearts,SCOTLAND: Premiership - Round 24,01.02.2023 21:45,Rangers,0,3,6.00,4.50,1.50,0,0,50%,50%,6,20,2,9,4,5,0,6,18,7,1,7,1,6,22,25,6,2,7,11,0,0,3,3,487,487,396,418,14,21,26,64
Rangers,SCOTLAND: Premiership - Round 23,28.01.2023 17:00,St Johnstone,2,0,1.13,8.00,21.00,0,0,69%,31%,20,4,11,1,6,2,3,1,8,14,9,3,0,2,20,13,1,9,16,11,0,1,3,3,661,292,587,214,20,20,79,20
St Johnstone,SCOTLAND: Scottish Cup - 1/16-finals,21.01.2023 19:30,Rangers,0,1,10.00,5.25,1.30,0,0,42%,58%,3,12,1,3,0,5,2,4,13,10,2,11,0,0,18,29,2,1,10,10,0,0,1,2,0,0,0,0,0,0,31,63
Kilmarnock,SCOTLAND: Premiership - Round 22,18.01.2023 22:00,Rangers,2,3,8.50,5.30,1.32,0,0,22%,78%,10,13,5,7,3,2,2,4,17,14,3,4,2,2,23,24,4,3,12,15,1,0,3,2,203,752,113,665,18,9,27,63
Rangers,SCOTLAND: League Cup - Play Offs - Semi-finals,15.01.2023 17:00,Aberdeen,2,1,1.29,5.00,10.00,0,0,59%,41%,23,10,5,3,9,4,9,3,17,14,8,5,0,0,36,25,2,3,14,14,0,1,3,3,0,0,0,0,0,0,99,50
Dundee Utd,SCOTLAND: Premiership - Round 21,08.01.2023 18:00,Rangers,0,2,10.00,5.00,1.30,0,0,31%,69%,6,20,1,10,3,6,2,4,7,6,1,7,2,4,18,24,8,1,4,2,0,0,1,0,292,671,185,589,18,15,15,35
Rangers,SCOTLAND: Premiership - Round 20,02.01.2023 14:30,Celtic,2,2,2.90,3.70,2.25,0,0,39%,61%,15,8,5,2,6,2,4,4,16,13,5,4,2,4,31,24,0,3,11,13,0,0,1,1,344,532,249,434,18,23,58,42
Rangers,SCOTLAND: Premiership - Round 19,28.12.2022 21:45,Motherwell,3,0,1.20,8.00,10.00,0,0,66%,34%,19,5,10,1,3,2,6,2,13,11,7,7,4,1,28,22,1,7,8,14,0,0,2,3,577,287,497,199,13,16,41,36
Ross County,SCOTLAND: Premiership - Round 18,23.12.2022 21:30,Rangers,0,1,10.00,5.75,1.25,0,0,34%,66%,6,17,2,6,4,5,0,6,9,14,0,4,0,3,22,42,5,2,17,6,0,0,2,1,302,607,205,517,26,16,23,56
Aberdeen,SCOTLAND: Premiership - Round 7,20.12.2022 22:00,Rangers,2,3,6.00,4.33,1.55,0,0,32%,68%,8,14,2,8,4,5,2,1,14,10,3,5,2,2,21,17,5,0,8,13,0,0,5,5,281,598,180,499,11,12,33,72
Rangers,SCOTLAND: Premiership - Round 17,15.12.2022 22:00,Hibernian,3,2,1.33,5.50,8.50,0,0,72%,28%,22,8,9,5,6,3,7,0,9,12,8,4,2,1,26,21,3,6,10,10,0,0,1,3,677,265,581,164,11,23,86,21
Rangers (Sco),WORLD: Club Friendly,10.12.2022 15:00,Bayer Leverkusen (Ger),3,0,2.85,3.68,2.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
