Team 1,Competition info,Date,Team 2,Score 1,Score 2,Bet Winner Home,Bet Draw,Bet Winner Away,Expected Goals xG Home,Expected Goals xG Away,Ball Possession Home,Ball Possession Away,Goal Attempts Home,Goal Attempts Away,Shots on Goal Home,Shots on Goal Away,Shots off Goal Home,Shots off Goal Away,Blocked Shots Home,Blocked Shots Away,Free Kicks Home,Free Kicks Away,Corner Kicks Home,Corner Kicks Away,Offsides Home,Offsides Away,Throwin Home,Throwin Away,Goalkeeper Saves Home,Goalkeeper Saves Away,Fouls Home,Fouls Away,Red Cards Home,Red Cards Away,Yellow Cards Home,Yellow Cards Away,Total Passes Home,Total Passes Away,Completed Passes Home,Completed Passes Away,Tackles Home,Tackles Away,Attacks Home,Attacks Away
Udinese,ITALY: Serie A - Round 27,18.03.2023 21:45,AC Milan,3,1,3.60,3.30,2.10,2.19,2.06,36%,64%,14,10,5,6,6,3,3,1,13,17,5,6,1,3,12,27,5,2,16,9,0,0,4,2,289,501,210,425,18,15,32,62
AC Milan,ITALY: Serie A - Round 26,13.03.2023 21:45,Salernitana,1,1,1.25,6.00,11.00,2.49,0.79,64%,36%,24,6,4,3,12,0,8,3,14,15,6,4,0,1,25,20,2,3,15,13,0,0,2,3,566,328,487,233,22,14,68,30
Tottenham,EUROPE: Champions League - Play Offs - 1/8-finals,08.03.2023 22:00,AC Milan,0,0,1.80,3.75,4.50,0.51,1.51,50%,50%,9,14,2,3,3,5,4,6,13,18,6,0,0,1,18,15,3,2,18,13,1,0,5,1,483,430,406,365,22,16,53,24
Fiorentina,ITALY: Serie A - Round 25,04.03.2023 21:45,AC Milan,2,1,2.70,3.20,2.75,2.28,0.98,48%,52%,16,8,8,6,6,2,2,0,16,12,11,5,0,1,20,21,5,6,12,17,0,0,3,3,351,396,281,325,14,19,53,24
AC Milan,ITALY: Serie A - Round 24,26.02.2023 21:45,Atalanta,2,0,2.20,3.30,3.30,1.95,0.12,48%,52%,13,3,3,0,7,1,3,2,16,20,4,3,1,1,17,22,0,2,11,11,0,0,3,2,485,535,398,428,22,15,36,40
Monza,ITALY: Serie A - Round 23,18.02.2023 19:00,AC Milan,0,1,3.50,3.30,2.20,0.5,2.51,59%,41%,11,14,5,8,3,5,3,1,27,15,10,3,1,2,25,18,7,5,10,18,0,0,4,2,532,387,448,296,22,23,56,35
AC Milan,EUROPE: Champions League - Play Offs - 1/8-finals,14.02.2023 22:00,Tottenham,1,0,2.45,3.20,3.00,1.62,0.53,49%,51%,9,12,4,3,4,5,1,4,17,17,3,8,1,4,14,19,3,3,17,13,0,0,2,2,417,447,337,369,13,16,39,58
AC Milan,ITALY: Serie A - Round 22,10.02.2023 21:45,Torino,1,0,1.70,3.60,5.25,1.33,0.77,46%,54%,9,12,4,2,4,5,1,5,20,11,3,8,1,0,18,29,2,3,10,20,0,0,1,4,408,469,315,385,28,19,27,40
Inter,ITALY: Serie A - Round 21,05.02.2023 21:45,AC Milan,1,0,1.95,3.30,4.20,0,0,64%,36%,15,4,4,0,6,4,5,0,14,15,8,0,2,1,23,18,0,3,13,14,0,0,2,5,571,330,480,244,13,11,72,21
AC Milan,ITALY: Serie A - Round 20,29.01.2023 13:30,Sassuolo,2,5,1.44,4.75,6.50,0,0,61%,39%,10,9,5,7,5,0,0,2,11,17,2,3,5,3,25,18,2,3,13,8,0,0,7,4,412,270,321,200,21,18,49,21
Lazio,ITALY: Serie A - Round 19,24.01.2023 21:45,AC Milan,4,0,2.80,3.25,2.55,0,0,50%,50%,10,10,5,3,1,2,4,5,12,15,3,4,1,2,17,18,3,1,14,11,0,0,1,2,492,496,415,416,26,16,26,27
AC Milan,ITALY: Super Cup - Final,18.01.2023 21:00,Inter,0,3,2.85,3.30,2.45,0,0,65%,35%,14,12,3,6,6,2,5,4,25,14,5,6,0,1,18,24,3,3,14,24,0,0,2,3,510,265,432,194,12,18,43,44
Lecce,ITALY: Serie A - Round 18,14.01.2023 19:00,AC Milan,2,2,5.25,3.60,1.70,0,0,36%,64%,17,12,3,5,7,4,7,3,14,11,8,4,0,3,16,41,3,1,11,12,0,0,1,2,275,501,184,396,22,23,39,47
AC Milan,ITALY: Coppa Italia - 1/8-finals,11.01.2023 22:00,Torino,0,1,1.76,3.55,4.90,0,0,58%,42%,32,11,8,3,15,5,9,3,15,13,12,4,4,0,33,20,2,8,9,15,0,1,0,4,666,488,530,362,27,23,93,34
AC Milan,ITALY: Serie A - Round 17,08.01.2023 21:45,AS Roma,2,2,1.85,3.60,4.20,0,0,61%,39%,12,12,5,3,6,4,1,5,14,19,3,4,0,1,15,21,1,3,19,13,0,0,4,7,508,321,438,256,28,12,39,31
Salernitana,ITALY: Serie A - Round 16,04.01.2023 13:30,AC Milan,1,2,8.50,5.00,1.36,0,0,44%,56%,8,16,1,10,5,1,2,5,17,22,6,2,1,4,16,20,8,0,21,13,0,0,4,1,313,399,241,319,22,21,35,53
PSV (Ned),WORLD: Club Friendly,30.12.2022 19:15,AC Milan (Ita),3,0,2.80,3.50,2.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liverpool (Eng),WORLD: Club Friendly,16.12.2022 17:30,AC Milan (Ita),4,1,1.70,3.98,5.29,0,0,57%,43%,22,8,10,4,9,3,3,1,0,0,4,4,1,2,24,21,3,6,11,13,0,0,0,0,570,434,498,344,20,27,68,40
Arsenal (Eng),WORLD: Club Friendly,13.12.2022 16:00,AC Milan (Ita),2,1,2.02,3.95,3.05,0,0,54%,46%,9,11,2,2,3,5,4,4,0,0,2,8,1,4,23,18,1,0,16,12,0,0,2,0,449,392,385,314,12,16,57,48
AC Milan,ITALY: Serie A - Round 15,13.11.2022 19:00,Fiorentina,2,1,1.65,4.00,5.00,0,0,49%,51%,12,11,3,5,3,4,6,2,13,15,5,7,3,2,25,12,4,1,13,11,0,0,1,4,400,409,316,319,17,21,34,48
