Team 1,Competition info,Date,Team 2,Score 1,Score 2,Bet Winner Home,Bet Draw,Bet Winner Away,Expected Goals xG Home,Expected Goals xG Away,Ball Possession Home,Ball Possession Away,Goal Attempts Home,Goal Attempts Away,Shots on Goal Home,Shots on Goal Away,Shots off Goal Home,Shots off Goal Away,Blocked Shots Home,Blocked Shots Away,Free Kicks Home,Free Kicks Away,Corner Kicks Home,Corner Kicks Away,Offsides Home,Offsides Away,Throwin Home,Throwin Away,Goalkeeper Saves Home,Goalkeeper Saves Away,Fouls Home,Fouls Away,Red Cards Home,Red Cards Away,Yellow Cards Home,Yellow Cards Away,Total Passes Home,Total Passes Away,Completed Passes Home,Completed Passes Away,Tackles Home,Tackles Away,Attacks Home,Attacks Away
Ajax,NETHERLANDS: Eredivisie - Round 26,19.03.2023 15:30,Feyenoord,2,3,1.80,4.00,3.60,1.09,1.75,51%,49%,12,17,5,5,4,7,3,5,11,13,8,4,3,0,15,11,2,3,15,14,0,0,2,5,450,427,366,341,19,20,43,41
Heerenveen,NETHERLANDS: Eredivisie - Round 25,12.03.2023 15:30,Ajax,2,4,8.00,5.00,1.36,1.16,1.89,43%,57%,6,13,4,6,1,5,1,2,11,13,5,8,0,1,23,13,2,2,13,11,0,0,2,2,387,525,289,427,23,12,44,42
Ajax,NETHERLANDS: Eredivisie - Round 24,05.03.2023 17:45,Nijmegen,1,0,1.18,7.00,13.00,1.85,0.39,66%,34%,19,5,7,2,6,1,6,2,13,18,10,2,1,1,19,9,2,6,17,17,0,0,1,3,621,318,541,233,22,20,77,28
Graafschap,NETHERLANDS: KNVB Beker - Quarter-finals,02.03.2023 22:00,Ajax,0,3,10.00,6.50,1.25,0,0,28%,72%,9,15,1,6,5,4,3,5,12,9,1,9,1,4,24,16,3,1,8,7,0,0,1,1,253,679,168,596,16,12,32,76
Vitesse,NETHERLANDS: Eredivisie - Round 23,26.02.2023 15:30,Ajax,1,2,6.00,5.00,1.44,0.99,1.19,32%,68%,10,10,5,3,3,5,2,2,13,13,6,4,1,4,19,22,1,4,13,12,0,0,0,2,254,574,165,474,24,19,28,60
Union Berlin,EUROPE: Europa League - Play Offs - 1/16-finals,23.02.2023 22:00,Ajax,3,1,2.30,3.20,3.25,1.79,1.72,33%,67%,10,10,6,3,2,5,2,2,13,13,6,4,0,4,13,14,2,3,13,9,0,1,2,7,242,715,166,623,18,12,27,68
Ajax,NETHERLANDS: Eredivisie - Round 22,19.02.2023 17:45,Sparta Rotterdam,4,0,1.25,6.50,12.00,4.01,0.4,75%,25%,23,7,12,2,6,3,5,2,11,7,5,2,3,1,9,11,2,8,6,12,0,0,0,1,711,238,660,166,9,17,86,27
Ajax,EUROPE: Europa League - Play Offs - 1/16-finals,16.02.2023 19:45,Union Berlin,0,0,2.05,3.25,3.60,0.5,0.92,64%,36%,8,12,0,3,7,7,1,2,21,20,3,4,1,2,13,23,3,0,12,13,0,0,0,2,565,282,489,188,10,11,38,47
Ajax,NETHERLANDS: Eredivisie - Round 21,12.02.2023 17:45,Waalwijk,3,1,1.14,7.50,17.00,3.01,0.87,73%,27%,17,6,5,3,7,2,5,1,9,9,10,2,3,2,16,7,2,2,11,11,0,0,2,2,723,259,655,190,22,28,115,18
Twente,NETHERLANDS: KNVB Beker - 1/8-finals,09.02.2023 19:45,Ajax,0,1,3.80,3.60,1.95,0,0,36%,64%,13,16,2,6,7,5,4,5,11,10,8,7,1,1,19,15,5,2,11,11,0,0,3,3,314,584,212,492,18,16,45,43
Cambuur,NETHERLANDS: Eredivisie - Round 20,05.02.2023 13:15,Ajax,0,5,12.00,6.00,1.25,0,0,25%,75%,4,20,1,5,2,7,1,8,8,11,3,6,0,2,8,22,1,1,18,6,0,0,3,1,261,793,195,712,16,18,24,77
Excelsior,NETHERLANDS: Eredivisie - Round 19,29.01.2023 15:30,Ajax,1,4,13.00,7.00,1.20,0,0,20%,80%,12,19,4,9,4,7,4,3,7,7,6,7,1,1,7,18,5,3,9,5,0,0,1,1,212,879,135,788,18,16,26,81
Ajax,NETHERLANDS: Eredivisie - Round 18,26.01.2023 22:00,FC Volendam,1,1,1.11,11.00,19.00,0,0,83%,17%,31,2,7,1,10,0,14,1,11,7,14,0,1,0,27,9,0,6,6,13,0,0,0,1,903,184,797,88,17,19,149,16
Feyenoord,NETHERLANDS: Eredivisie - Round 17,22.01.2023 15:30,Ajax,1,1,2.45,3.60,2.75,0,0,43%,57%,11,11,4,3,5,7,2,1,15,21,7,6,4,2,28,19,2,3,19,14,0,0,4,4,326,436,223,330,23,25,54,26
Ajax,NETHERLANDS: Eredivisie - Round 16,14.01.2023 22:00,Twente,0,0,1.45,4.75,6.50,0,0,41%,59%,6,24,5,7,1,7,0,10,17,11,3,5,3,2,14,13,7,5,9,15,1,0,1,4,384,569,310,501,19,17,28,92
Den Bosch,NETHERLANDS: KNVB Beker - 1/16-finals,11.01.2023 22:00,Ajax,0,2,25.00,11.50,1.08,0,0,28%,72%,3,16,1,4,0,10,2,2,6,9,2,6,0,0,25,24,2,1,13,7,0,0,1,2,273,692,184,622,25,17,41,102
Nijmegen,NETHERLANDS: Eredivisie - Round 15,08.01.2023 15:30,Ajax,1,1,4.50,5.00,1.57,0,0,33%,67%,6,21,1,7,2,7,3,7,16,7,1,9,0,2,23,24,6,0,9,14,0,0,1,3,277,549,202,470,21,22,26,79
Ajax (Ned),WORLD: Club Friendly,30.12.2022 13:00,Telstar (Ned),5,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajax (Ned),WORLD: Club Friendly,07.12.2022 13:00,FC Volendam (Ned),5,4,1.17,8.00,11.50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajax (Ned),WORLD: Club Friendly,03.12.2022 12:00,Blackburn (Eng),0,2,1.74,4.16,3.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
