Team 1,Competition info,Date,Team 2,Score 1,Score 2,Bet Winner Home,Bet Draw,Bet Winner Away,Expected Goals xG Home,Expected Goals xG Away,Ball Possession Home,Ball Possession Away,Goal Attempts Home,Goal Attempts Away,Shots on Goal Home,Shots on Goal Away,Shots off Goal Home,Shots off Goal Away,Blocked Shots Home,Blocked Shots Away,Free Kicks Home,Free Kicks Away,Corner Kicks Home,Corner Kicks Away,Offsides Home,Offsides Away,Throwin Home,Throwin Away,Goalkeeper Saves Home,Goalkeeper Saves Away,Fouls Home,Fouls Away,Red Cards Home,Red Cards Away,Yellow Cards Home,Yellow Cards Away,Total Passes Home,Total Passes Away,Completed Passes Home,Completed Passes Away,Tackles Home,Tackles Away,Attacks Home,Attacks Away
Atl. Madrid,SPAIN: LaLiga - Round 26,18.03.2023 22:00,Valencia,3,0,1.50,4.20,7.00,2.41,1.03,56%,44%,14,9,6,1,7,5,1,3,12,12,4,2,0,1,25,20,1,3,12,9,0,0,2,0,566,440,488,357,19,10,43,40
Girona,SPAIN: LaLiga - Round 25,13.03.2023 22:00,Atl. Madrid,0,1,3.60,3.40,2.05,0.36,2.26,50%,50%,6,14,4,4,1,7,1,3,14,10,1,3,4,3,14,20,3,4,6,12,0,0,2,3,529,537,464,458,12,6,34,55
Atl. Madrid,SPAIN: LaLiga - Round 24,04.03.2023 22:00,Sevilla,6,1,1.60,3.80,6.00,3.44,1.61,47%,53%,18,8,8,1,4,6,6,1,12,12,7,3,1,1,7,14,0,2,12,11,0,1,1,4,519,577,465,514,12,7,47,39
Real Madrid,SPAIN: LaLiga - Round 23,25.02.2023 19:30,Atl. Madrid,1,1,1.83,3.50,4.50,1.79,0.32,61%,39%,18,7,7,2,10,3,1,2,7,11,7,4,2,0,19,9,1,6,10,8,0,1,3,3,629,399,571,338,19,20,77,50
Atl. Madrid,SPAIN: LaLiga - Round 22,19.02.2023 19:30,Ath Bilbao,1,0,1.95,3.30,4.20,1.23,0.81,57%,43%,17,8,5,2,7,2,5,4,13,7,6,5,0,0,20,17,2,4,7,13,0,0,2,3,613,466,503,353,18,13,63,39
Celta Vigo,SPAIN: LaLiga - Round 21,12.02.2023 17:15,Atl. Madrid,0,1,3.60,3.10,2.20,1.22,1.12,47%,53%,14,10,3,2,8,4,3,4,15,10,7,5,0,2,16,22,1,3,10,13,0,1,2,2,444,503,375,424,24,31,56,55
Atl. Madrid,SPAIN: LaLiga - Round 20,04.02.2023 19:30,Getafe,1,1,1.45,4.00,7.50,0,0,63%,37%,12,9,4,1,4,4,4,4,18,13,8,0,3,0,21,19,0,3,11,18,0,0,3,5,633,387,523,263,9,17,78,23
Osasuna,SPAIN: LaLiga - Round 19,29.01.2023 17:15,Atl. Madrid,0,1,4.00,3.20,2.05,0,0,52%,48%,14,13,4,5,8,6,2,2,10,16,5,4,3,3,17,20,4,4,13,7,0,0,1,0,500,479,417,381,11,15,59,35
Real Madrid,SPAIN: Copa del Rey - Quarter-finals,26.01.2023 22:00,Atl. Madrid,3,1,1.95,3.30,4.20,0,0,61%,39%,23,12,6,6,11,6,6,0,18,11,7,6,0,0,21,13,5,3,11,18,0,1,2,6,974,628,884,535,21,19,97,67
Atl. Madrid,SPAIN: LaLiga - Round 18,21.01.2023 19:30,Valladolid,3,0,1.33,5.25,9.00,0,0,47%,53%,18,7,8,1,6,4,4,2,12,17,4,1,1,1,20,16,1,5,12,7,0,0,1,1,521,567,439,483,13,22,45,63
