Team 1,Competition info,Date,Team 2,Score 1,Score 2,Bet Winner Home,Bet Draw,Bet Winner Away,Expected Goals xG Home,Expected Goals xG Away,Ball Possession Home,Ball Possession Away,Goal Attempts Home,Goal Attempts Away,Shots on Goal Home,Shots on Goal Away,Shots off Goal Home,Shots off Goal Away,Blocked Shots Home,Blocked Shots Away,Free Kicks Home,Free Kicks Away,Corner Kicks Home,Corner Kicks Away,Offsides Home,Offsides Away,Throwin Home,Throwin Away,Goalkeeper Saves Home,Goalkeeper Saves Away,Fouls Home,Fouls Away,Red Cards Home,Red Cards Away,Yellow Cards Home,Yellow Cards Away,Total Passes Home,Total Passes Away,Completed Passes Home,Completed Passes Away,Tackles Home,Tackles Away,Attacks Home,Attacks Away
Barcelona,SPAIN: LaLiga - Round 26,19.03.2023 22:00,Real Madrid,2,1,2.20,3.40,3.25,1.75,0.62,54%,46%,17,11,7,3,6,4,4,4,17,14,8,1,1,4,14,18,2,5,12,13,0,0,4,3,557,487,495,414,17,14,72,47
Ath Bilbao,SPAIN: LaLiga - Round 25,12.03.2023 22:00,Barcelona,0,1,3.50,3.30,2.15,0.94,0.95,37%,63%,15,10,5,2,5,5,5,3,8,15,5,3,2,1,26,21,1,5,13,7,0,0,2,1,319,565,231,482,27,11,50,48
Barcelona,SPAIN: LaLiga - Round 24,05.03.2023 17:15,Valencia,1,0,1.33,5.25,8.50,2.08,0.85,53%,47%,13,13,4,1,4,8,5,4,15,12,5,2,1,3,23,25,1,3,11,13,1,0,0,0,463,398,386,323,13,24,38,34
Real Madrid,SPAIN: Copa del Rey - Semi-finals,02.03.2023 22:00,Barcelona,0,1,1.85,3.50,4.20,0,0,65%,35%,13,4,0,2,6,1,7,1,16,20,11,2,4,3,25,17,1,0,16,13,0,0,3,3,680,380,598,309,20,16,102,22
Almeria,SPAIN: LaLiga - Round 23,26.02.2023 19:30,Barcelona,1,0,6.50,4.75,1.44,1.04,1.19,28%,72%,6,13,4,1,1,9,1,3,15,15,4,7,3,5,15,24,1,3,13,11,0,0,3,3,221,560,141,499,11,13,29,86
Manchester Utd,EUROPE: Europa League - Play Offs - 1/16-finals,23.02.2023 22:00,Barcelona,2,1,2.10,3.40,3.50,1.31,1.24,45%,55%,13,6,5,3,3,2,5,1,18,17,1,2,1,1,24,17,2,3,13,12,0,0,3,3,340,463,261,385,12,9,53,39
Barcelona,SPAIN: LaLiga - Round 22,19.02.2023 22:00,Cadiz CF,2,0,1.22,6.00,13.00,2.39,1.54,65%,35%,16,14,5,4,9,8,2,2,25,16,5,6,1,7,15,14,4,3,15,18,0,0,2,3,596,306,540,243,13,13,56,36
Barcelona,EUROPE: Europa League - Play Offs - 1/16-finals,16.02.2023 19:45,Manchester Utd,2,2,1.75,3.80,4.75,1.36,2.32,57%,43%,18,17,8,5,7,7,3,5,13,9,8,5,0,1,19,18,3,6,10,12,0,0,2,3,481,303,381,220,8,21,73,52
Villarreal,SPAIN: LaLiga - Round 21,12.02.2023 22:00,Barcelona,0,1,4.75,3.60,1.75,1.21,1.61,53%,47%,11,6,2,4,7,2,2,0,24,32,6,2,5,3,29,18,3,2,22,18,0,0,4,4,443,391,359,313,13,15,48,39
Barcelona,SPAIN: LaLiga - Round 20,05.02.2023 22:00,Sevilla,3,0,1.30,5.50,9.00,0,0,65%,35%,16,3,7,1,6,2,3,0,13,11,8,3,2,3,22,14,1,4,8,10,0,0,0,2,673,366,610,292,13,20,67,25
Betis,SPAIN: LaLiga - Round 17,01.02.2023 22:00,Barcelona,1,2,4.75,3.60,1.75,0,0,36%,64%,5,13,1,3,2,6,2,4,15,20,1,6,3,6,16,13,1,0,17,9,1,0,3,0,361,643,284,572,24,24,25,72
Girona,SPAIN: LaLiga - Round 19,28.01.2023 17:15,Barcelona,0,1,5.50,4.33,1.55,0,0,40%,60%,8,8,2,3,4,2,2,3,16,15,4,2,6,1,25,18,2,2,10,15,1,0,2,3,384,582,319,508,12,21,34,65
Barcelona,SPAIN: Copa del Rey - Quarter-finals,25.01.2023 22:00,Real Sociedad,1,0,1.55,4.00,6.50,0,0,74%,26%,19,7,6,2,8,4,5,1,12,15,9,3,5,0,14,23,2,5,10,12,0,1,2,1,632,221,562,154,16,25,76,22
Barcelona,SPAIN: LaLiga - Round 18,22.01.2023 19:30,Getafe,1,0,1.22,6.00,13.00,0,0,68%,32%,8,7,4,3,3,3,1,1,10,16,4,2,5,4,18,15,3,3,11,6,0,0,1,2,807,385,712,301,16,15,79,25
Ceuta,SPAIN: Copa del Rey - 1/8-finals,19.01.2023 21:00,Barcelona,0,5,21.00,13.00,1.07,0,0,35%,65%,6,16,0,7,6,7,0,2,13,15,6,5,4,1,20,22,2,0,10,12,0,0,1,0,299,566,225,492,13,19,42,61
