Team 1,Competition info,Date,Team 2,Score 1,Score 2,Bet Winner Home,Bet Draw,Bet Winner Away,Expected Goals xG Home,Expected Goals xG Away,Ball Possession Home,Ball Possession Away,Goal Attempts Home,Goal Attempts Away,Shots on Goal Home,Shots on Goal Away,Shots off Goal Home,Shots off Goal Away,Blocked Shots Home,Blocked Shots Away,Free Kicks Home,Free Kicks Away,Corner Kicks Home,Corner Kicks Away,Offsides Home,Offsides Away,Throwin Home,Throwin Away,Goalkeeper Saves Home,Goalkeeper Saves Away,Fouls Home,Fouls Away,Red Cards Home,Red Cards Away,Yellow Cards Home,Yellow Cards Away,Total Passes Home,Total Passes Away,Completed Passes Home,Completed Passes Away,Tackles Home,Tackles Away,Attacks Home,Attacks Away
Bayer Leverkusen,GERMANY: Bundesliga - Round 25,19.03.2023 18:30,Bayern Munich,2,1,4.33,4.20,1.70,2.1,0.84,43%,57%,12,11,6,6,6,5,0,0,10,13,5,3,3,1,17,22,5,4,10,11,0,0,2,3,401,572,333,498,0,0,33,55
Ferencvaros,EUROPE: Europa League - Play Offs - 1/8-finals,16.03.2023 22:00,Bayer Leverkusen,0,2,5.00,3.80,1.65,1.04,3.14,47%,53%,9,16,1,9,4,1,4,6,15,8,3,9,1,3,18,19,7,1,7,12,0,0,0,0,470,571,402,500,18,16,50,59
Werder Bremen,GERMANY: Bundesliga - Round 24,12.03.2023 18:30,Bayer Leverkusen,2,3,3.60,3.40,2.05,1.87,1.29,53%,47%,12,13,6,5,6,8,0,0,12,12,2,3,5,1,14,19,2,4,12,12,0,0,2,1,503,458,397,344,0,0,33,23
Bayer Leverkusen,EUROPE: Europa League - Play Offs - 1/8-finals,09.03.2023 19:45,Ferencvaros,2,0,1.29,5.50,11.00,0.67,0.51,61%,39%,9,8,2,1,3,7,4,0,14,15,0,2,0,1,22,21,1,0,15,13,0,0,3,4,729,379,655,319,18,17,44,30
Bayer Leverkusen,GERMANY: Bundesliga - Round 23,05.03.2023 16:30,Hertha Berlin,4,1,1.50,4.20,7.00,2.38,0.97,59%,41%,18,7,9,2,9,5,0,0,14,13,9,2,4,1,17,18,1,5,11,14,0,0,1,2,644,388,567,299,0,0,30,28
Freiburg,GERMANY: Bundesliga - Round 22,26.02.2023 16:30,Bayer Leverkusen,1,1,2.38,3.50,2.90,1.21,2.61,47%,53%,9,16,4,4,5,12,0,0,12,16,1,3,2,0,14,15,3,3,14,13,0,0,2,1,445,528,334,433,0,0,38,37
Monaco,EUROPE: Europa League - Play Offs - 1/16-finals,23.02.2023 19:45,Bayer Leverkusen,2,4,2.25,3.60,3.00,1.96,2.29,49%,51%,13,17,5,8,6,6,2,3,13,16,7,7,1,2,28,18,5,3,15,12,0,0,3,2,685,727,578,617,20,20,65,66
Bayer Leverkusen,GERMANY: Bundesliga - Round 21,19.02.2023 20:30,Mainz,2,3,1.91,3.75,3.80,2.78,2.12,62%,38%,17,12,7,7,10,5,0,0,17,15,4,5,2,1,19,23,4,5,14,19,1,0,5,5,546,253,453,164,0,0,51,54
Bayer Leverkusen,EUROPE: Europa League - Play Offs - 1/16-finals,16.02.2023 22:00,Monaco,2,3,2.10,3.50,3.40,1.82,0.63,52%,48%,18,10,8,5,7,2,3,3,7,10,3,4,0,0,24,19,3,6,10,7,0,0,3,3,595,526,499,413,15,8,41,20
Hoffenheim,GERMANY: Bundesliga - Round 20,11.02.2023 16:30,Bayer Leverkusen,1,3,2.63,3.50,2.63,0.87,1.56,50%,50%,11,12,6,5,5,7,0,0,10,16,5,8,2,1,29,19,2,5,15,9,0,0,3,1,481,483,414,411,0,0,36,49
Augsburg,GERMANY: Bundesliga - Round 19,03.02.2023 21:30,Bayer Leverkusen,1,0,3.75,3.80,1.91,0.66,0.49,47%,53%,10,12,5,4,5,8,0,0,8,17,2,1,2,1,17,15,4,4,14,8,0,0,3,2,385,589,300,495,0,0,34,61
Bayer Leverkusen,GERMANY: Bundesliga - Round 18,29.01.2023 18:30,Dortmund,0,2,2.45,3.75,2.63,0,0,55%,45%,20,6,7,2,13,4,0,0,22,15,8,4,2,2,14,17,0,7,13,20,0,0,2,4,526,398,458,330,0,0,53,34
Bayer Leverkusen,GERMANY: Bundesliga - Round 17,25.01.2023 21:30,Bochum,2,0,1.45,4.75,6.50,0,0,56%,44%,11,10,4,2,7,8,0,0,19,17,3,4,3,6,17,20,2,2,15,14,0,0,2,4,424,325,335,224,0,0,32,58
B. Monchengladbach,GERMANY: Bundesliga - Round 16,22.01.2023 18:30,Bayer Leverkusen,2,3,2.75,3.75,2.38,0,0,57%,43%,15,13,8,5,7,8,0,0,14,13,2,3,4,2,16,7,2,6,12,14,0,0,3,2,701,465,631,386,0,0,47,23
Bayer Leverkusen (Ger),WORLD: Club Friendly,15.01.2023 14:00,FC Copenhagen (Den),1,0,1.46,4.75,5.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bayer Leverkusen (Ger),WORLD: Club Friendly,07.01.2023 16:00,Venezia (Ita),2,1,1.40,4.85,5.60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bayer Leverkusen (Ger),WORLD: Club Friendly,17.12.2022 14:00,Zurich (Sui),4,1,1.45,4.93,5.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rangers (Sco),WORLD: Club Friendly,10.12.2022 15:00,Bayer Leverkusen (Ger),3,0,2.85,3.68,2.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Louis City 2 (Usa),WORLD: Club Friendly,17.11.2022 03:00,Bayer Leverkusen (Ger),0,3,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bayer Leverkusen,GERMANY: Bundesliga - Round 15,12.11.2022 16:30,Stuttgart,2,0,1.83,3.80,4.20,0,0,44%,56%,11,7,3,1,8,6,0,0,12,9,4,2,1,3,19,18,1,1,11,10,0,0,2,3,422,551,346,479,0,0,37,40
