Team 1,Competition info,Date,Team 2,Score 1,Score 2,Bet Winner Home,Bet Draw,Bet Winner Away,Expected Goals xG Home,Expected Goals xG Away,Ball Possession Home,Ball Possession Away,Goal Attempts Home,Goal Attempts Away,Shots on Goal Home,Shots on Goal Away,Shots off Goal Home,Shots off Goal Away,Blocked Shots Home,Blocked Shots Away,Free Kicks Home,Free Kicks Away,Corner Kicks Home,Corner Kicks Away,Offsides Home,Offsides Away,Throwin Home,Throwin Away,Goalkeeper Saves Home,Goalkeeper Saves Away,Fouls Home,Fouls Away,Red Cards Home,Red Cards Away,Yellow Cards Home,Yellow Cards Away,Total Passes Home,Total Passes Away,Completed Passes Home,Completed Passes Away,Tackles Home,Tackles Away,Attacks Home,Attacks Away
Bayer Leverkusen,GERMANY: Bundesliga - Round 25,19.03.2023 18:30,Bayern Munich,2,1,4.33,4.20,1.70,2.1,0.84,43%,57%,12,11,6,6,6,5,0,0,10,13,5,3,3,1,17,22,5,4,10,11,0,0,2,3,401,572,333,498,0,0,33,55
Bayern Munich,GERMANY: Bundesliga - Round 24,11.03.2023 16:30,Augsburg,5,3,1.09,11.00,23.00,2.85,2.59,61%,39%,24,13,9,6,15,7,0,0,11,9,8,5,2,1,17,19,3,4,8,10,0,0,2,1,583,304,513,228,0,0,69,30
Bayern Munich,EUROPE: Champions League - Play Offs - 1/8-finals,08.03.2023 22:00,Paris SG,2,0,1.67,4.75,4.10,1.65,1.25,48%,52%,11,11,5,3,3,2,3,6,6,13,4,6,3,0,20,27,3,3,9,6,0,0,0,1,530,650,459,569,17,28,59,52
Stuttgart,GERMANY: Bundesliga - Round 23,04.03.2023 19:30,Bayern Munich,1,2,7.00,5.00,1.44,0.64,1.9,43%,57%,11,13,4,6,7,7,0,0,5,6,3,6,3,1,14,17,4,3,6,12,0,0,0,0,424,644,348,567,0,0,44,68
Bayern Munich,GERMANY: Bundesliga - Round 22,26.02.2023 18:30,Union Berlin,3,0,1.44,4.60,7.00,3.91,0.45,65%,35%,19,4,10,1,9,3,0,0,10,10,10,4,3,1,10,14,1,7,8,9,0,0,1,1,730,307,657,233,0,0,92,24
B. Monchengladbach,GERMANY: Bundesliga - Round 21,18.02.2023 16:30,Bayern Munich,3,2,7.00,5.00,1.40,2.23,1.31,53%,47%,17,13,7,4,10,9,0,0,13,9,4,0,0,4,16,20,2,4,9,9,0,1,0,1,591,505,520,429,0,0,41,39
Paris SG,EUROPE: Champions League - Play Offs - 1/8-finals,14.02.2023 22:00,Bayern Munich,0,1,2.80,3.50,2.45,1.01,1.26,45%,55%,9,17,4,7,1,7,4,3,21,13,4,5,5,3,12,18,6,4,8,18,0,1,2,2,505,595,444,537,18,25,39,70
Bayern Munich,GERMANY: Bundesliga - Round 20,11.02.2023 16:30,Bochum,3,0,1.13,9.50,17.00,4.63,0.21,60%,40%,25,7,12,1,13,6,0,0,12,10,6,3,0,1,18,20,1,9,10,12,0,0,1,1,572,309,492,222,0,0,55,36
Wolfsburg,GERMANY: Bundesliga - Round 19,05.02.2023 18:30,Bayern Munich,2,4,5.50,4.50,1.53,2.71,0.68,52%,48%,19,9,5,4,14,5,0,0,9,14,7,4,5,3,18,16,0,3,10,9,0,1,2,6,534,498,465,428,0,0,59,35
Mainz,GERMANY: DFB Pokal - 1/8-finals,01.02.2023 21:45,Bayern Munich,0,4,7.00,5.00,1.40,0,0,32%,68%,11,21,1,9,5,7,5,5,7,14,2,6,0,1,15,13,5,1,14,6,2,0,3,1,317,704,199,594,17,11,35,54
