Team 1,Competition info,Date,Team 2,Score 1,Score 2,Bet Winner Home,Bet Draw,Bet Winner Away,Expected Goals xG Home,Expected Goals xG Away,Ball Possession Home,Ball Possession Away,Goal Attempts Home,Goal Attempts Away,Shots on Goal Home,Shots on Goal Away,Shots off Goal Home,Shots off Goal Away,Blocked Shots Home,Blocked Shots Away,Free Kicks Home,Free Kicks Away,Corner Kicks Home,Corner Kicks Away,Offsides Home,Offsides Away,Throwin Home,Throwin Away,Goalkeeper Saves Home,Goalkeeper Saves Away,Fouls Home,Fouls Away,Red Cards Home,Red Cards Away,Yellow Cards Home,Yellow Cards Away,Total Passes Home,Total Passes Away,Completed Passes Home,Completed Passes Away,Tackles Home,Tackles Away,Attacks Home,Attacks Away
Kortrijk,BELGIUM: Jupiler Pro League - Round 30,18.03.2023 17:00,Club Brugge KV,1,0,4.33,3.80,1.62,0.43,1.72,46%,54%,10,13,6,3,1,6,3,4,12,11,1,6,0,1,36,30,3,5,11,11,0,0,2,2,396,458,263,338,29,13,38,48
Club Brugge KV,BELGIUM: Jupiler Pro League - Round 29,12.03.2023 14:30,St. Liege,2,0,1.83,3.60,3.75,1.23,1.09,43%,57%,13,17,4,4,6,5,3,8,8,14,6,6,2,2,17,17,4,2,11,10,0,0,1,1,359,497,276,401,13,12,41,41
Benfica,EUROPE: Champions League - Play Offs - 1/8-finals,07.03.2023 22:00,Club Brugge KV,5,1,1.36,4.75,8.00,3.56,1.08,57%,43%,21,12,7,2,10,6,4,4,7,6,2,5,4,1,23,19,1,2,3,7,0,0,1,4,613,417,553,348,7,7,56,39
Oostende,BELGIUM: Jupiler Pro League - Round 28,03.03.2023 21:45,Club Brugge KV,3,0,4.75,4.20,1.62,1.85,0.91,31%,69%,13,11,6,3,6,5,1,3,17,15,0,5,4,3,22,25,3,3,12,16,0,0,2,2,248,555,123,428,23,11,39,47
Club Brugge KV,BELGIUM: Jupiler Pro League - Round 27,26.02.2023 14:30,Gent,2,0,2.05,3.80,3.20,2.14,0.26,52%,48%,16,6,6,2,5,2,5,2,6,9,9,3,0,1,0,0,2,4,9,10,0,0,2,0,438,404,318,307,19,14,63,33
Cercle Brugge KSV,BELGIUM: Jupiler Pro League - Round 26,19.02.2023 14:30,Club Brugge KV,2,2,3.60,3.40,2.05,1.83,1.67,42%,58%,28,7,10,5,13,0,5,2,8,6,17,4,1,1,26,28,3,8,10,12,0,0,2,2,235,376,113,254,23,9,76,16
Club Brugge KV,EUROPE: Champions League - Play Offs - 1/8-finals,15.02.2023 22:00,Benfica,0,2,4.50,3.60,1.83,0.23,2.83,46%,54%,4,14,1,4,1,7,2,3,12,13,3,7,4,4,19,22,2,1,10,8,0,0,2,1,465,562,390,486,14,9,44,64
Club Brugge KV,BELGIUM: Jupiler Pro League - Round 25,10.02.2023 21:45,Royale Union SG,1,1,2.50,3.20,2.80,1.47,1.29,56%,44%,10,19,4,2,5,12,1,5,9,9,5,3,1,2,28,13,1,3,13,10,0,0,1,4,530,405,424,312,21,22,46,40
Antwerp,BELGIUM: Jupiler Pro League - Round 24,05.02.2023 14:30,Club Brugge KV,0,0,2.45,3.30,2.75,0,0,53%,47%,7,4,2,1,4,2,1,1,19,7,2,5,3,2,17,26,1,2,12,22,0,0,1,5,458,393,370,299,18,17,71,53
Waregem,BELGIUM: Jupiler Pro League - Round 23,29.01.2023 19:30,Club Brugge KV,1,2,5.25,4.00,1.53,0,0,54%,46%,11,12,4,2,4,4,3,6,15,9,4,8,3,2,24,19,0,3,8,17,1,0,2,4,445,389,346,279,14,19,49,32
