Team 1,Competition info,Date,Team 2,Score 1,Score 2,Bet Winner Home,Bet Draw,Bet Winner Away,Expected Goals xG Home,Expected Goals xG Away,Ball Possession Home,Ball Possession Away,Goal Attempts Home,Goal Attempts Away,Shots on Goal Home,Shots on Goal Away,Shots off Goal Home,Shots off Goal Away,Blocked Shots Home,Blocked Shots Away,Free Kicks Home,Free Kicks Away,Corner Kicks Home,Corner Kicks Away,Offsides Home,Offsides Away,Throwin Home,Throwin Away,Goalkeeper Saves Home,Goalkeeper Saves Away,Fouls Home,Fouls Away,Red Cards Home,Red Cards Away,Yellow Cards Home,Yellow Cards Away,Total Passes Home,Total Passes Away,Completed Passes Home,Completed Passes Away,Tackles Home,Tackles Away,Attacks Home,Attacks Away
D. Zagreb,CROATIA: HNL - Round 26,19.03.2023 18:30,Rijeka,1,0,1.33,4.75,8.00,0,0,58%,42%,13,12,4,2,6,7,3,3,15,7,3,5,1,3,28,22,2,3,6,13,0,0,0,0,498,354,418,278,8,13,72,62
Istra 1961,CROATIA: HNL - Round 12,15.03.2023 18:00,D. Zagreb,1,0,6.50,4.00,1.40,0,0,40%,60%,6,11,2,3,3,7,1,1,16,14,1,7,2,0,24,27,3,1,12,16,0,0,1,3,353,523,256,440,28,14,34,73
Sibenik,CROATIA: HNL - Round 25,11.03.2023 19:10,D. Zagreb,2,1,6.50,4.75,1.40,0,0,29%,71%,5,17,2,6,3,8,0,3,11,9,1,5,1,1,20,22,5,0,9,10,0,0,5,5,258,629,159,527,15,9,38,81
D. Zagreb,CROATIA: HNL - Round 24,05.03.2023 18:30,Osijek,1,1,1.30,4.75,11.00,0,0,67%,33%,17,5,5,1,8,2,4,2,10,9,8,2,4,2,22,15,0,4,6,8,0,0,1,3,694,343,595,246,14,14,91,17
D. Zagreb,CROATIA: Croatian Cup - Quarter-finals,01.03.2023 16:00,Lok. Zagreb,3,1,1.33,4.75,7.00,0,0,53%,47%,22,11,13,6,9,5,0,0,20,17,6,4,0,0,31,32,5,10,0,0,0,0,1,2,0,0,0,0,0,0,84,46
D. Zagreb,CROATIA: HNL - Round 23,26.02.2023 16:00,Hajduk Split,4,0,1.44,4.20,5.50,0,0,70%,30%,14,5,5,3,2,2,7,0,11,7,7,1,1,1,26,18,3,1,6,10,0,0,1,1,726,308,636,229,12,15,73,18
Varazdin,CROATIA: HNL - Round 22,19.02.2023 16:00,D. Zagreb,1,3,5.00,3.75,1.57,0,0,44%,56%,6,16,3,7,2,8,1,1,18,7,3,6,1,1,27,32,4,2,4,10,0,0,1,0,362,470,270,376,16,26,44,65
RNK Split,CROATIA: Croatian Cup - 1/8-finals,14.02.2023 15:30,D. Zagreb,1,3,34.00,15.00,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D. Zagreb,CROATIA: HNL - Round 21,10.02.2023 18:00,Istra 1961,1,0,1.33,4.33,8.00,0,0,56%,44%,16,5,3,0,11,2,2,3,13,12,2,3,3,1,29,16,0,2,10,13,0,0,0,2,582,454,480,356,15,23,75,32
Slaven Belupo,CROATIA: HNL - Round 20,04.02.2023 18:30,D. Zagreb,1,1,6.00,3.40,1.57,0,0,31%,69%,9,7,2,2,6,2,1,3,6,12,2,2,3,1,29,36,1,1,9,5,0,0,2,1,254,589,140,458,21,14,34,48
D. Zagreb,CROATIA: HNL - Round 19,28.01.2023 18:10,Lok. Zagreb,2,1,1.25,5.50,9.00,0,0,57%,43%,12,8,7,2,5,4,0,2,8,4,2,3,1,2,15,21,1,5,3,6,1,0,2,2,603,452,506,360,8,11,63,32
D. Zagreb,CROATIA: HNL - Round 18,21.01.2023 18:30,Gorica,0,0,1.25,5.50,11.00,0,0,80%,20%,11,6,3,3,7,0,1,3,16,10,9,2,0,1,28,13,3,3,11,18,0,0,2,3,773,190,666,113,16,19,78,28
D. Zagreb (Cro),WORLD: Club Friendly,12.01.2023 15:30,Celje (Slo),1,1,1.22,6.74,9.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
