Team 1,Competition info,Date,Team 2,Score 1,Score 2,Bet Winner Home,Bet Draw,Bet Winner Away,Expected Goals xG Home,Expected Goals xG Away,Ball Possession Home,Ball Possession Away,Goal Attempts Home,Goal Attempts Away,Shots on Goal Home,Shots on Goal Away,Shots off Goal Home,Shots off Goal Away,Blocked Shots Home,Blocked Shots Away,Free Kicks Home,Free Kicks Away,Corner Kicks Home,Corner Kicks Away,Offsides Home,Offsides Away,Throwin Home,Throwin Away,Goalkeeper Saves Home,Goalkeeper Saves Away,Fouls Home,Fouls Away,Red Cards Home,Red Cards Away,Yellow Cards Home,Yellow Cards Away,Total Passes Home,Total Passes Away,Completed Passes Home,Completed Passes Away,Tackles Home,Tackles Away,Attacks Home,Attacks Away
Union Berlin,GERMANY: Bundesliga - Round 25,19.03.2023 16:30,Eintracht Frankfurt,2,0,2.25,3.10,3.50,1.31,2.76,42%,58%,14,19,3,6,11,14,0,0,11,19,3,7,1,0,19,22,4,1,19,15,0,0,3,2,275,495,193,421,0,0,50,55
Napoli,EUROPE: Champions League - Play Offs - 1/8-finals,15.03.2023 22:00,Eintracht Frankfurt,3,0,1.36,5.00,7.50,2.97,1.16,60%,40%,12,8,8,1,2,2,2,5,14,15,4,3,2,0,22,19,1,5,13,15,0,0,1,3,636,429,549,348,9,25,40,45
Eintracht Frankfurt,GERMANY: Bundesliga - Round 24,11.03.2023 16:30,Stuttgart,1,1,2.10,3.50,3.40,0.87,0.81,50%,50%,10,9,1,5,9,4,0,0,14,19,3,2,3,3,29,19,4,0,16,11,0,0,4,1,488,447,381,358,0,0,55,30
Wolfsburg,GERMANY: Bundesliga - Round 23,05.03.2023 18:30,Eintracht Frankfurt,2,2,2.40,3.50,2.80,1.74,1.06,53%,47%,13,10,8,2,5,8,0,0,16,7,4,5,0,1,16,25,0,6,11,16,0,0,3,3,467,434,388,343,0,0,35,52
RB Leipzig,GERMANY: Bundesliga - Round 22,25.02.2023 16:30,Eintracht Frankfurt,2,1,1.62,4.00,5.25,2.41,0.57,55%,45%,10,8,5,4,5,4,0,0,14,10,2,6,1,2,23,25,3,3,11,11,0,0,2,3,577,488,473,395,0,0,45,42
Eintracht Frankfurt,EUROPE: Champions League - Play Offs - 1/8-finals,21.02.2023 22:00,Napoli,0,2,3.40,3.40,2.15,0.48,3.03,33%,67%,5,17,1,10,2,4,2,3,20,21,4,9,1,2,15,21,8,1,12,13,1,0,1,2,311,723,243,646,11,11,42,59
Eintracht Frankfurt,GERMANY: Bundesliga - Round 21,18.02.2023 19:30,Werder Bremen,2,0,1.53,4.50,5.75,2.07,0.24,47%,53%,11,3,6,0,5,3,0,0,8,20,5,2,5,1,20,18,0,4,15,9,0,0,1,1,479,602,388,494,0,0,41,26
FC Koln,GERMANY: Bundesliga - Round 20,12.02.2023 18:30,Eintracht Frankfurt,3,0,2.70,3.40,2.55,1.81,0.54,47%,53%,9,7,4,1,5,6,0,0,11,16,3,9,1,2,20,31,1,1,15,11,0,0,3,2,388,539,299,437,0,0,32,55
Eintracht Frankfurt,GERMANY: DFB Pokal - 1/8-finals,07.02.2023 21:45,Darmstadt,4,2,1.50,4.33,6.00,0,0,60%,40%,13,13,5,4,6,8,2,1,12,14,4,4,2,1,13,22,2,1,12,11,0,0,4,5,647,431,535,316,18,11,46,20
Eintracht Frankfurt,GERMANY: Bundesliga - Round 19,04.02.2023 16:30,Hertha Berlin,3,0,1.53,4.20,6.00,2.17,0.86,56%,44%,10,13,4,3,6,10,0,0,11,12,7,1,3,2,28,16,3,1,12,10,0,0,1,2,632,394,537,307,0,0,50,34
Bayern Munich,GERMANY: Bundesliga - Round 18,28.01.2023 19:30,Eintracht Frankfurt,1,1,1.36,5.75,7.00,0,0,66%,34%,14,7,6,1,8,6,0,0,3,10,7,6,3,0,24,16,0,5,6,4,0,0,3,1,732,344,659,275,0,0,60,32
Freiburg,GERMANY: Bundesliga - Round 17,25.01.2023 21:30,Eintracht Frankfurt,1,1,2.30,3.40,3.10,0,0,48%,52%,12,4,5,2,7,2,0,0,16,19,4,3,4,2,16,24,1,4,15,15,0,0,3,3,401,508,293,412,0,0,57,36
Eintracht Frankfurt,GERMANY: Bundesliga - Round 16,21.01.2023 16:30,Schalke,3,0,1.33,5.00,8.50,0,0,44%,56%,11,18,3,4,8,14,0,0,11,16,5,4,2,1,21,36,4,0,14,10,0,0,2,3,371,467,271,360,0,0,24,44
Lech Poznan (Pol),WORLD: Club Friendly,13.01.2023 13:00,Eintracht Frankfurt (Ger),2,2,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
