Team 1,Competition info,Date,Team 2,Score 1,Score 2,Bet Winner Home,Bet Draw,Bet Winner Away,Expected Goals xG Home,Expected Goals xG Away,Ball Possession Home,Ball Possession Away,Goal Attempts Home,Goal Attempts Away,Shots on Goal Home,Shots on Goal Away,Shots off Goal Home,Shots off Goal Away,Blocked Shots Home,Blocked Shots Away,Free Kicks Home,Free Kicks Away,Corner Kicks Home,Corner Kicks Away,Offsides Home,Offsides Away,Throwin Home,Throwin Away,Goalkeeper Saves Home,Goalkeeper Saves Away,Fouls Home,Fouls Away,Red Cards Home,Red Cards Away,Yellow Cards Home,Yellow Cards Away,Total Passes Home,Total Passes Away,Completed Passes Home,Completed Passes Away,Tackles Home,Tackles Away,Attacks Home,Attacks Away
Braga,PORTUGAL: Liga Portugal - Round 25,19.03.2023 20:00,FC Porto,0,0,3.25,3.20,2.20,0.98,1.16,54%,46%,14,5,4,2,6,3,4,0,21,19,5,5,5,6,26,23,2,4,15,17,0,0,3,2,423,409,321,311,16,16,68,46
FC Porto,EUROPE: Champions League - Play Offs - 1/8-finals,14.03.2023 22:00,Inter,0,0,3.00,3.30,2.38,1.69,0.52,65%,35%,19,11,5,5,6,4,8,2,20,13,6,3,2,2,28,23,5,5,11,18,1,0,3,3,626,301,538,220,9,22,68,33
FC Porto,PORTUGAL: Liga Portugal - Round 24,10.03.2023 22:15,Estoril,3,2,1.25,5.75,11.00,2.27,1.79,55%,45%,12,9,5,3,4,3,3,3,6,18,6,3,3,0,5,14,1,2,22,11,0,1,3,5,539,311,486,240,14,12,74,21
Chaves,PORTUGAL: Liga Portugal - Round 23,04.03.2023 22:30,FC Porto,1,3,9.50,4.50,1.33,2.21,1.58,34%,66%,13,13,4,5,4,5,5,3,9,9,4,8,1,3,9,13,2,3,19,19,2,0,9,5,240,525,174,442,12,21,37,58
FC Porto,PORTUGAL: Liga Portugal - Round 22,26.02.2023 22:30,Gil Vicente,1,2,1.14,7.50,15.00,1.83,2.33,39%,61%,11,9,4,4,7,3,0,2,10,13,3,0,5,3,19,17,2,3,14,14,2,0,5,5,376,585,295,514,21,21,56,59
Inter,EUROPE: Champions League - Play Offs - 1/8-finals,22.02.2023 22:00,FC Porto,1,0,1.75,3.50,5.00,1.75,1.65,57%,43%,18,10,4,4,9,4,5,2,15,15,6,0,0,1,24,16,4,3,15,14,0,1,1,4,511,368,442,295,17,15,71,30
FC Porto,PORTUGAL: Liga Portugal - Round 21,18.02.2023 22:30,Rio Ave,1,0,1.17,6.00,19.00,1.77,0.8,59%,41%,14,11,4,4,7,7,3,0,13,15,8,2,2,2,19,19,4,3,19,16,0,0,2,3,459,323,389,251,20,26,56,22
Sporting CP,PORTUGAL: Liga Portugal - Round 20,12.02.2023 20:00,FC Porto,1,2,2.40,3.25,2.75,2.14,1.93,56%,44%,15,10,5,3,5,5,5,2,9,12,8,4,3,0,27,13,1,4,11,12,0,0,4,1,454,362,389,279,13,18,63,45
Academico Viseu,PORTUGAL: Taça de Portugal - Quarter-finals,08.02.2023 22:45,FC Porto,0,1,8.50,4.50,1.33,0,0,48%,52%,4,9,2,5,2,4,0,0,23,19,5,5,0,0,19,31,4,2,0,0,0,0,4,4,0,0,0,0,0,0,58,62
FC Porto,PORTUGAL: Liga Portugal - Round 19,05.02.2023 20:00,Vizela,2,0,1.25,5.75,13.00,0,0,63%,37%,15,10,4,3,4,4,7,3,6,12,7,5,1,0,24,14,3,2,15,9,0,0,2,2,522,339,450,258,13,21,71,26
Maritimo,PORTUGAL: Liga Portugal - Round 18,01.02.2023 21:00,FC Porto,0,2,11.00,5.25,1.25,0,0,55%,45%,10,9,2,4,8,4,0,1,17,27,5,1,1,2,17,13,2,2,28,15,1,1,6,3,367,411,301,341,14,22,45,28
Sporting CP,PORTUGAL: League Cup - Play Offs - Final,28.01.2023 21:45,FC Porto,0,2,3.15,3.35,2.30,0,0,54%,46%,10,4,5,3,5,1,0,0,11,19,6,6,0,0,19,19,1,5,14,11,1,0,5,3,0,0,0,0,0,0,58,45
FC Porto,PORTUGAL: League Cup - Play Offs - Semi-finals,25.01.2023 21:45,Academico Viseu,3,0,1.18,7.70,13.00,0,0,61%,39%,11,6,6,0,5,6,0,0,22,14,6,2,0,0,21,17,0,3,10,25,0,0,1,5,0,0,0,0,0,0,55,32
Vitoria Guimaraes,PORTUGAL: Liga Portugal - Round 17,21.01.2023 22:30,FC Porto,0,1,9.00,5.25,1.29,0,0,35%,65%,9,14,0,2,6,8,3,4,18,17,3,6,1,3,22,22,1,0,20,17,0,0,6,4,288,553,187,460,10,9,33,61
FC Porto,PORTUGAL: Liga Portugal - Round 16,15.01.2023 22:30,Famalicao,4,1,1.20,6.50,17.00,0,0,54%,46%,17,10,9,2,6,5,2,3,16,20,2,5,0,2,20,19,1,5,22,14,0,0,3,1,509,428,437,355,20,9,65,46
FC Porto,PORTUGAL: Taça de Portugal - 1/8-finals,11.01.2023 22:45,Arouca,4,0,1.08,8.50,18.00,0,0,58%,42%,16,3,8,0,8,3,0,0,12,17,9,3,0,0,19,24,0,4,0,0,0,0,0,3,0,0,0,0,0,0,106,31
Casa Pia,PORTUGAL: Liga Portugal - Round 15,07.01.2023 22:30,FC Porto,0,0,8.50,4.50,1.36,0,0,24%,76%,2,25,0,9,2,11,0,5,14,12,5,6,3,3,17,22,9,0,10,11,1,0,3,0,236,666,143,585,26,23,17,116
