Team 1,Competition info,Date,Team 2,Score 1,Score 2,Bet Winner Home,Bet Draw,Bet Winner Away,Expected Goals xG Home,Expected Goals xG Away,Ball Possession Home,Ball Possession Away,Goal Attempts Home,Goal Attempts Away,Shots on Goal Home,Shots on Goal Away,Shots off Goal Home,Shots off Goal Away,Blocked Shots Home,Blocked Shots Away,Free Kicks Home,Free Kicks Away,Corner Kicks Home,Corner Kicks Away,Offsides Home,Offsides Away,Throwin Home,Throwin Away,Goalkeeper Saves Home,Goalkeeper Saves Away,Fouls Home,Fouls Away,Red Cards Home,Red Cards Away,Yellow Cards Home,Yellow Cards Away,Total Passes Home,Total Passes Away,Completed Passes Home,Completed Passes Away,Tackles Home,Tackles Away,Attacks Home,Attacks Away
Inter,ITALY: Serie A - Round 27,19.03.2023 21:45,Juventus,0,1,2.00,3.30,3.80,1.36,0.72,69%,31%,18,7,3,3,7,2,8,2,19,6,6,4,0,1,22,19,2,3,6,18,1,1,3,4,620,270,546,205,14,15,90,31
FC Porto,EUROPE: Champions League - Play Offs - 1/8-finals,14.03.2023 22:00,Inter,0,0,3.00,3.30,2.38,1.69,0.52,65%,35%,19,11,5,5,6,4,8,2,20,13,6,3,2,2,28,23,5,5,11,18,1,0,3,3,626,301,538,220,9,22,68,33
Spezia,ITALY: Serie A - Round 26,10.03.2023 21:45,Inter,2,1,8.00,4.50,1.40,1.06,4.04,31%,69%,4,28,2,7,0,13,2,8,14,11,1,13,0,4,15,32,6,0,11,9,0,0,3,0,265,557,190,476,16,19,28,100
Inter,ITALY: Serie A - Round 25,05.03.2023 19:00,Lecce,2,0,1.36,4.75,9.50,0.92,0.73,62%,38%,14,11,4,1,7,8,3,2,12,13,6,4,3,1,37,22,1,2,10,11,0,0,0,0,517,313,434,235,19,16,48,31
Bologna,ITALY: Serie A - Round 24,26.02.2023 13:30,Inter,1,0,4.75,3.75,1.73,1.38,1.09,48%,52%,14,13,5,4,6,6,3,3,22,13,1,6,4,2,25,20,4,4,7,14,0,0,1,2,491,525,398,436,16,18,36,49
Inter,EUROPE: Champions League - Play Offs - 1/8-finals,22.02.2023 22:00,FC Porto,1,0,1.75,3.50,5.00,1.75,1.65,57%,43%,18,10,4,4,9,4,5,2,15,15,6,0,0,1,24,16,4,3,15,14,0,1,1,4,511,368,442,295,17,15,71,30
Inter,ITALY: Serie A - Round 23,18.02.2023 21:45,Udinese,3,1,1.40,4.50,7.50,2.97,0.85,60%,40%,19,9,7,1,4,4,8,4,13,16,3,8,2,0,18,13,0,4,14,14,0,0,2,2,520,360,444,291,27,13,75,40
Sampdoria,ITALY: Serie A - Round 22,13.02.2023 21:45,Inter,0,0,9.50,4.75,1.36,0,0,35%,65%,7,25,2,5,3,13,2,7,14,12,3,7,0,3,15,13,5,2,13,11,0,0,3,1,361,667,267,600,9,11,37,58
Inter,ITALY: Serie A - Round 21,05.02.2023 21:45,AC Milan,1,0,1.95,3.30,4.20,0,0,64%,36%,15,4,4,0,6,4,5,0,14,15,8,0,2,1,23,18,0,3,13,14,0,0,2,5,571,330,480,244,13,11,72,21
Inter,ITALY: Coppa Italia - Quarter-finals,31.01.2023 22:00,Atalanta,1,0,1.95,3.50,3.80,0,0,53%,47%,14,10,3,1,7,7,4,2,14,14,6,3,2,1,22,22,1,2,9,8,0,0,4,1,505,503,423,414,21,13,94,49
