Team 1,Competition info,Date,Team 2,Score 1,Score 2,Bet Winner Home,Bet Draw,Bet Winner Away,Expected Goals xG Home,Expected Goals xG Away,Ball Possession Home,Ball Possession Away,Goal Attempts Home,Goal Attempts Away,Shots on Goal Home,Shots on Goal Away,Shots off Goal Home,Shots off Goal Away,Blocked Shots Home,Blocked Shots Away,Free Kicks Home,Free Kicks Away,Corner Kicks Home,Corner Kicks Away,Offsides Home,Offsides Away,Throwin Home,Throwin Away,Goalkeeper Saves Home,Goalkeeper Saves Away,Fouls Home,Fouls Away,Red Cards Home,Red Cards Away,Yellow Cards Home,Yellow Cards Away,Total Passes Home,Total Passes Away,Completed Passes Home,Completed Passes Away,Tackles Home,Tackles Away,Attacks Home,Attacks Away
Reims,FRANCE: Ligue 1 - Round 28,19.03.2023 21:45,Marseille,1,2,2.90,3.40,2.40,1.65,1.59,56%,44%,19,12,6,5,9,5,4,2,15,14,6,5,1,4,19,20,3,5,13,11,0,0,2,3,417,348,334,251,22,15,68,47
Marseille,FRANCE: Ligue 1 - Round 27,12.03.2023 21:45,Strasbourg,2,2,1.40,4.75,8.00,1.93,2.55,41%,59%,7,24,4,9,3,6,0,9,15,8,1,8,1,1,25,18,7,2,6,15,1,0,0,4,348,496,249,406,17,23,26,46
Rennes,FRANCE: Ligue 1 - Round 26,05.03.2023 21:45,Marseille,0,1,3.00,3.40,2.38,1.01,1.67,55%,45%,13,11,2,4,5,5,6,2,11,11,4,3,1,1,22,20,3,2,10,10,0,0,1,1,483,413,381,313,16,24,61,40
Marseille,FRANCE: Coupe de France - Quarter-finals,01.03.2023 22:00,Annecy,2,3,1.10,9.00,19.00,0,0,66%,34%,19,4,6,4,8,0,5,0,11,17,10,3,6,6,32,19,2,4,10,8,0,0,0,0,641,334,537,236,12,13,89,36
Marseille,FRANCE: Ligue 1 - Round 25,26.02.2023 21:45,Paris SG,0,3,3.00,3.60,2.30,2.35,2.96,54%,46%,19,12,6,7,7,4,6,1,25,25,7,4,2,2,16,14,4,6,20,14,0,0,0,0,466,414,404,346,17,25,56,28
Toulouse,FRANCE: Ligue 1 - Round 24,19.02.2023 21:45,Marseille,2,3,3.80,3.60,1.95,1.93,1.08,52%,48%,15,15,6,7,4,5,5,3,13,8,3,10,0,3,16,18,4,4,8,10,0,0,0,2,448,401,371,320,18,19,49,66
Clermont,FRANCE: Ligue 1 - Round 23,11.02.2023 22:00,Marseille,0,2,5.50,3.50,1.67,0.59,2.01,38%,62%,9,17,4,5,3,5,2,7,19,14,3,4,1,3,9,16,3,4,15,16,0,0,4,3,332,541,250,472,17,18,21,81
Marseille,FRANCE: Coupe de France - 1/8-finals,08.02.2023 22:10,Paris SG,2,1,3.10,3.30,2.30,0,0,44%,56%,16,8,8,3,4,3,4,2,15,16,6,1,5,2,16,19,2,6,12,12,0,0,2,1,423,540,342,462,28,19,46,53
Marseille,FRANCE: Ligue 1 - Round 22,05.02.2023 21:45,Nice,1,3,1.67,4.00,5.00,0,0,58%,42%,22,14,5,8,9,5,8,1,5,11,9,1,1,0,25,24,5,4,10,5,0,0,0,1,522,406,433,303,15,24,79,26
Nantes,FRANCE: Ligue 1 - Round 21,01.02.2023 20:00,Marseille,0,2,5.00,3.80,1.70,0,0,41%,59%,12,13,2,4,6,5,4,4,19,14,5,7,0,3,20,19,2,2,14,16,0,0,4,3,319,484,245,404,13,15,30,52
Marseille,FRANCE: Ligue 1 - Round 20,28.01.2023 22:00,Monaco,1,1,1.95,3.75,3.60,0,0,61%,39%,22,11,6,4,10,6,6,1,11,13,6,3,1,1,16,14,3,5,7,9,0,0,2,2,589,373,476,265,23,28,57,17
Marseille,FRANCE: Coupe de France - 1/16-finals,20.01.2023 22:10,Rennes,1,0,1.80,3.50,4.00,0,0,49%,51%,11,5,3,1,6,4,2,0,11,18,2,4,5,1,27,22,1,2,13,10,0,0,1,2,431,447,328,339,19,17,49,39
Marseille,FRANCE: Ligue 1 - Round 19,14.01.2023 20:00,Lorient,3,1,1.44,4.75,7.00,0,0,69%,31%,15,11,8,3,7,3,0,5,11,15,6,3,1,0,10,14,2,5,14,12,0,0,1,0,661,304,604,230,11,13,67,26
Troyes,FRANCE: Ligue 1 - Round 18,11.01.2023 22:00,Marseille,0,2,4.90,4.00,1.67,0,0,32%,68%,5,13,1,4,2,3,2,6,16,13,4,7,1,4,20,15,2,1,12,13,0,0,2,3,299,656,233,597,9,13,21,67
Hyeres,FRANCE: Coupe de France - 1/32-finals,07.01.2023 16:30,Marseille,0,2,29.00,8.50,1.08,0,0,47%,53%,12,12,2,4,10,6,0,2,17,12,1,3,0,4,12,13,2,2,15,15,0,1,0,1,419,489,350,416,5,17,52,62
Montpellier,FRANCE: Ligue 1 - Round 17,02.01.2023 20:00,Marseille,1,2,5.25,4.20,1.62,0,0,40%,60%,8,17,1,8,3,3,4,6,14,13,5,7,3,2,24,20,6,0,10,14,0,1,2,2,317,483,242,407,19,18,38,53
Marseille,FRANCE: Ligue 1 - Round 16,29.12.2022 22:00,Toulouse,6,1,1.40,5.00,7.00,0,0,51%,49%,13,10,7,6,4,3,2,1,7,15,1,6,0,0,15,24,5,1,14,8,0,0,1,2,459,439,377,354,19,21,43,45
Sassuolo (Ita),WORLD: Club Friendly,11.12.2022 17:00,Marseille (Fra),3,2,2.95,3.59,2.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monaco,FRANCE: Ligue 1 - Round 15,13.11.2022 21:45,Marseille,2,3,2.37,3.60,2.87,0,0,42%,58%,11,11,6,3,3,6,2,2,9,17,5,4,0,1,12,12,0,4,17,9,0,0,3,1,388,563,308,492,13,8,34,24
Marseille,FRANCE: Ligue 1 - Round 14,06.11.2022 21:45,Lyon,1,0,2.10,3.60,3.40,0,0,46%,54%,6,11,2,4,3,5,1,2,12,11,6,4,2,0,17,18,4,1,9,13,0,0,0,1,434,519,343,416,27,27,60,40
