Team 1,Competition info,Date,Team 2,Score 1,Score 2,Bet Winner Home,Bet Draw,Bet Winner Away,Expected Goals xG Home,Expected Goals xG Away,Ball Possession Home,Ball Possession Away,Goal Attempts Home,Goal Attempts Away,Shots on Goal Home,Shots on Goal Away,Shots off Goal Home,Shots off Goal Away,Blocked Shots Home,Blocked Shots Away,Free Kicks Home,Free Kicks Away,Corner Kicks Home,Corner Kicks Away,Offsides Home,Offsides Away,Throwin Home,Throwin Away,Goalkeeper Saves Home,Goalkeeper Saves Away,Fouls Home,Fouls Away,Red Cards Home,Red Cards Away,Yellow Cards Home,Yellow Cards Away,Total Passes Home,Total Passes Away,Completed Passes Home,Completed Passes Away,Tackles Home,Tackles Away,Attacks Home,Attacks Away
Torino,ITALY: Serie A - Round 27,19.03.2023 16:00,Napoli,0,4,4.50,3.50,1.75,1.25,2.63,48%,52%,12,12,2,6,9,5,1,1,15,17,5,4,4,1,21,20,2,2,14,14,0,0,1,1,411,457,341,388,15,17,40,39
Napoli,EUROPE: Champions League - Play Offs - 1/8-finals,15.03.2023 22:00,Eintracht Frankfurt,3,0,1.36,5.00,7.50,2.97,1.16,60%,40%,12,8,8,1,2,2,2,5,14,15,4,3,2,0,22,19,1,5,13,15,0,0,1,3,636,429,549,348,9,25,40,45
Napoli,ITALY: Serie A - Round 26,11.03.2023 19:00,Atalanta,2,0,1.67,3.80,5.00,1.42,0.25,60%,40%,18,6,6,3,7,3,5,0,11,13,10,4,1,0,30,19,3,4,12,11,0,0,1,2,575,381,513,306,24,18,58,33
Napoli,ITALY: Serie A - Round 25,03.03.2023 21:45,Lazio,0,1,1.62,3.80,5.75,0.89,0.26,65%,35%,14,5,2,2,4,1,8,2,11,22,8,3,3,0,24,22,1,2,13,8,0,0,2,2,737,404,656,315,7,13,60,17
Empoli,ITALY: Serie A - Round 24,25.02.2023 19:00,Napoli,0,2,7.00,4.50,1.44,0.63,2.83,46%,54%,9,19,2,6,4,8,3,5,13,10,4,13,0,4,18,28,4,2,10,9,0,1,2,1,406,474,337,419,18,15,38,75
Eintracht Frankfurt,EUROPE: Champions League - Play Offs - 1/8-finals,21.02.2023 22:00,Napoli,0,2,3.40,3.40,2.15,0.48,3.03,33%,67%,5,17,1,10,2,4,2,3,20,21,4,9,1,2,15,21,8,1,12,13,1,0,1,2,311,723,243,646,11,11,42,59
Sassuolo,ITALY: Serie A - Round 23,17.02.2023 21:45,Napoli,0,2,5.00,3.80,1.62,0.76,1.84,40%,60%,11,15,2,4,6,8,3,3,18,20,1,3,2,2,18,23,2,2,12,10,0,0,2,2,416,638,344,561,17,22,47,56
Napoli,ITALY: Serie A - Round 22,12.02.2023 21:45,Cremonese,3,0,1.18,6.50,17.00,2.19,0.19,66%,34%,15,6,10,1,4,2,1,3,9,14,9,7,3,0,11,20,1,7,7,7,0,0,0,2,699,343,615,260,11,12,59,42
Spezia,ITALY: Serie A - Round 21,05.02.2023 13:30,Napoli,0,3,8.00,5.00,1.36,0,0,31%,69%,9,12,3,5,5,4,1,3,22,19,3,6,1,4,7,22,2,3,19,18,0,0,3,2,283,633,201,544,23,23,24,61
Napoli,ITALY: Serie A - Round 20,29.01.2023 21:45,AS Roma,2,1,1.75,3.50,5.00,0,0,57%,43%,11,11,6,3,4,4,1,4,14,8,3,8,0,0,21,21,2,4,8,14,0,0,1,2,598,444,508,346,19,19,41,38
Salernitana,ITALY: Serie A - Round 19,21.01.2023 19:00,Napoli,0,2,9.00,5.50,1.30,0,0,26%,74%,5,9,2,4,2,4,1,1,22,24,3,4,4,3,16,11,2,2,14,15,0,0,2,2,271,792,184,713,10,11,20,61
Napoli,ITALY: Coppa Italia - 1/8-finals,17.01.2023 22:00,Cremonese,2,3,1.34,5.10,9.50,0,0,70%,30%,23,10,9,5,9,2,5,3,18,14,5,2,0,2,35,16,3,7,14,16,0,1,2,6,978,410,860,301,22,27,72,36
Napoli,ITALY: Serie A - Round 18,13.01.2023 21:45,Juventus,5,1,2.00,3.35,3.95,0,0,60%,40%,14,11,10,2,2,4,2,5,15,13,2,5,1,0,19,21,1,5,10,9,0,0,0,1,568,362,500,297,27,27,37,38
Sampdoria,ITALY: Serie A - Round 17,08.01.2023 19:00,Napoli,0,2,7.50,4.33,1.44,0,0,34%,66%,9,24,2,8,4,10,3,6,16,13,2,5,0,4,16,12,6,2,15,12,1,0,3,2,330,664,246,608,22,13,17,54
Inter,ITALY: Serie A - Round 16,04.01.2023 21:45,Napoli,1,0,2.38,3.40,3.00,0,0,37%,63%,6,9,1,2,5,4,0,3,9,16,5,4,4,2,20,34,2,0,12,7,0,0,3,2,337,598,270,526,21,9,35,50
Napoli (Ita),WORLD: Club Friendly,21.12.2022 21:00,Lille (Fra),1,4,1.45,4.36,6.75,0,0,53%,47%,9,10,3,6,6,4,0,0,15,12,5,3,1,1,23,14,2,2,10,15,0,0,2,0,0,0,0,0,0,0,72,58
Napoli (Ita),WORLD: Club Friendly,17.12.2022 21:30,Villarreal (Esp),2,3,1.50,4.48,5.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crystal Palace (Eng),WORLD: Club Friendly,11.12.2022 17:00,Napoli (Ita),1,3,5.90,4.60,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antalyaspor (Tur),WORLD: Club Friendly,07.12.2022 19:45,Napoli (Ita),2,3,8.50,6.25,1.25,0,0,51%,49%,7,11,3,8,4,3,0,0,0,0,4,4,2,1,22,23,5,1,13,13,0,0,0,0,0,0,0,0,0,0,40,50
Napoli,ITALY: Serie A - Round 15,12.11.2022 16:00,Udinese,3,2,1.50,4.75,5.75,0,0,64%,36%,15,10,5,4,5,2,5,4,26,23,5,3,0,1,24,17,2,2,12,13,0,0,2,3,642,369,552,295,22,14,42,30
