Team 1,Competition info,Date,Team 2,Score 1,Score 2,Bet Winner Home,Bet Draw,Bet Winner Away,Expected Goals xG Home,Expected Goals xG Away,Ball Possession Home,Ball Possession Away,Goal Attempts Home,Goal Attempts Away,Shots on Goal Home,Shots on Goal Away,Shots off Goal Home,Shots off Goal Away,Blocked Shots Home,Blocked Shots Away,Free Kicks Home,Free Kicks Away,Corner Kicks Home,Corner Kicks Away,Offsides Home,Offsides Away,Throwin Home,Throwin Away,Goalkeeper Saves Home,Goalkeeper Saves Away,Fouls Home,Fouls Away,Red Cards Home,Red Cards Away,Yellow Cards Home,Yellow Cards Away,Total Passes Home,Total Passes Away,Completed Passes Home,Completed Passes Away,Tackles Home,Tackles Away,Attacks Home,Attacks Away
Plzen,CZECH REPUBLIC: 1. Liga - Round 24,19.03.2023 19:00,Bohemians,1,2,1.40,4.50,6.00,0,0,68%,32%,16,9,4,4,9,4,3,1,14,12,4,7,2,0,28,24,2,3,11,12,0,1,4,3,0,0,0,0,0,0,87,84
Slavia Prague,CZECH REPUBLIC: 1. Liga - Round 23,11.03.2023 19:00,Plzen,2,1,1.60,3.60,6.00,0,0,75%,25%,18,3,6,2,8,1,4,0,22,14,15,5,0,4,24,15,1,4,12,18,0,0,3,2,0,0,0,0,0,0,104,38
Plzen,CZECH REPUBLIC: 1. Liga - Round 22,04.03.2023 16:00,Sigma Olomouc,1,1,1.55,4.00,5.00,0,0,69%,31%,18,9,5,3,10,4,3,2,16,17,8,1,2,1,44,21,2,4,15,15,0,0,1,4,0,0,0,0,0,0,118,53
Plzen,CZECH REPUBLIC: 1. Liga - Round 21,25.02.2023 19:00,Liberec,2,1,1.33,5.00,9.50,0,0,49%,51%,9,10,4,3,4,4,1,3,10,13,5,9,1,0,27,36,2,2,12,10,0,0,2,0,0,0,0,0,0,0,67,79
Slovacko,CZECH REPUBLIC: 1. Liga - Round 20,19.02.2023 16:00,Plzen,2,0,3.00,3.00,2.38,0,0,38%,62%,8,9,4,3,3,3,1,3,19,6,6,7,0,0,19,32,3,2,6,18,0,0,2,2,0,0,0,0,0,0,72,74
Plzen,CZECH REPUBLIC: 1. Liga - Round 19,12.02.2023 16:00,Ceske Budejovice,2,1,1.20,6.00,11.00,0,0,38%,62%,19,17,9,8,7,2,3,7,12,10,1,3,1,2,20,17,7,7,10,10,0,0,2,1,0,0,0,0,0,0,78,106
Brno,CZECH REPUBLIC: 1. Liga - Round 18,05.02.2023 16:00,Plzen,1,3,4.50,3.75,1.75,0,0,31%,69%,4,15,2,7,2,3,0,5,8,14,3,11,1,0,14,17,4,1,12,6,1,0,2,3,0,0,0,0,0,0,28,95
Plzen,CZECH REPUBLIC: 1. Liga - Round 17,28.01.2023 16:00,Hradec Kralove,1,2,1.33,4.33,9.00,0,0,57%,43%,17,10,6,3,8,3,3,4,16,14,9,1,4,0,18,22,1,5,10,19,0,0,0,2,0,0,0,0,0,0,87,73
Plzen (Cze),WORLD: Club Friendly,20.01.2023 16:00,Molde (Nor),2,0,1.60,4.20,4.50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plzen (Cze),WORLD: Club Friendly,16.01.2023 16:00,Ferencvaros (Hun),0,0,2.40,3.25,2.60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
