Team 1,Competition info,Date,Team 2,Score 1,Score 2,Bet Winner Home,Bet Draw,Bet Winner Away,Expected Goals xG Home,Expected Goals xG Away,Ball Possession Home,Ball Possession Away,Goal Attempts Home,Goal Attempts Away,Shots on Goal Home,Shots on Goal Away,Shots off Goal Home,Shots off Goal Away,Blocked Shots Home,Blocked Shots Away,Free Kicks Home,Free Kicks Away,Corner Kicks Home,Corner Kicks Away,Offsides Home,Offsides Away,Throwin Home,Throwin Away,Goalkeeper Saves Home,Goalkeeper Saves Away,Fouls Home,Fouls Away,Red Cards Home,Red Cards Away,Yellow Cards Home,Yellow Cards Away,Total Passes Home,Total Passes Away,Completed Passes Home,Completed Passes Away,Tackles Home,Tackles Away,Attacks Home,Attacks Away
Bochum,GERMANY: Bundesliga - Round 25,18.03.2023 16:30,RB Leipzig,1,0,5.75,4.20,1.55,0.86,1.79,39%,61%,8,21,2,8,6,13,0,0,9,11,2,7,0,0,18,27,8,1,10,8,0,0,2,3,273,510,197,444,0,0,23,63
Manchester City,EUROPE: Champions League - Play Offs - 1/8-finals,14.03.2023 22:00,RB Leipzig,7,0,1.33,5.00,9.50,4.27,0.57,62%,38%,22,3,15,1,4,2,3,0,7,12,10,0,1,2,17,12,1,8,10,7,0,0,2,2,651,343,594,273,5,9,69,14
RB Leipzig,GERMANY: Bundesliga - Round 24,11.03.2023 16:30,B. Monchengladbach,3,0,1.36,5.50,7.50,2.47,1.39,64%,36%,14,7,9,3,5,4,0,0,8,11,11,0,3,1,15,8,3,6,9,9,0,0,1,0,690,349,614,269,0,0,61,25
Dortmund,GERMANY: Bundesliga - Round 23,03.03.2023 21:30,RB Leipzig,2,1,2.30,3.50,3.00,1.26,2.52,41%,59%,8,16,3,6,5,10,0,0,20,8,4,6,0,2,13,17,5,1,8,20,0,0,2,5,372,615,305,547,0,0,28,73
RB Leipzig,GERMANY: Bundesliga - Round 22,25.02.2023 16:30,Eintracht Frankfurt,2,1,1.62,4.00,5.25,2.41,0.57,55%,45%,10,8,5,4,5,4,0,0,14,10,2,6,1,2,23,25,3,3,11,11,0,0,2,3,577,488,473,395,0,0,45,42
RB Leipzig,EUROPE: Champions League - Play Offs - 1/8-finals,22.02.2023 22:00,Manchester City,1,1,3.90,3.50,1.95,0.84,1.37,38%,62%,6,12,4,3,2,6,0,3,6,15,2,4,3,1,13,20,2,3,12,6,0,0,1,0,436,702,383,649,11,6,30,46
Wolfsburg,GERMANY: Bundesliga - Round 21,18.02.2023 16:30,RB Leipzig,0,3,2.90,3.60,2.30,0.26,2.54,45%,55%,7,17,2,5,5,12,0,0,16,16,2,5,0,1,19,20,2,2,16,15,0,0,1,1,451,597,374,519,0,0,28,62
RB Leipzig,GERMANY: Bundesliga - Round 20,11.02.2023 19:30,Union Berlin,1,2,1.75,3.50,5.00,0.87,1.14,62%,38%,9,6,1,5,8,1,0,0,15,18,3,4,4,2,18,26,3,0,15,13,0,0,4,4,624,332,530,232,0,0,32,34
FC Koln,GERMANY: Bundesliga - Round 19,04.02.2023 16:30,RB Leipzig,0,0,3.80,3.50,1.95,0.86,0.77,46%,54%,9,7,0,2,9,5,0,0,17,12,5,1,2,3,37,33,2,0,10,15,0,0,3,4,426,557,315,434,0,0,56,37
RB Leipzig,GERMANY: DFB Pokal - 1/8-finals,01.02.2023 19:00,Hoffenheim,3,1,1.40,4.75,7.50,0,0,65%,35%,11,3,6,1,1,1,4,1,11,17,5,0,5,2,30,27,0,3,12,9,0,1,0,4,651,355,555,259,25,22,42,32
RB Leipzig,GERMANY: Bundesliga - Round 18,27.01.2023 21:30,Stuttgart,2,1,1.30,5.00,11.00,0,0,53%,47%,9,10,4,3,5,7,0,0,6,10,3,6,4,2,17,22,2,2,8,6,0,0,0,0,610,509,519,417,0,0,51,30
