Team 1,Competition info,Date,Team 2,Score 1,Score 2,Bet Winner Home,Bet Draw,Bet Winner Away,Expected Goals xG Home,Expected Goals xG Away,Ball Possession Home,Ball Possession Away,Goal Attempts Home,Goal Attempts Away,Shots on Goal Home,Shots on Goal Away,Shots off Goal Home,Shots off Goal Away,Blocked Shots Home,Blocked Shots Away,Free Kicks Home,Free Kicks Away,Corner Kicks Home,Corner Kicks Away,Offsides Home,Offsides Away,Throwin Home,Throwin Away,Goalkeeper Saves Home,Goalkeeper Saves Away,Fouls Home,Fouls Away,Red Cards Home,Red Cards Away,Yellow Cards Home,Yellow Cards Away,Total Passes Home,Total Passes Away,Completed Passes Home,Completed Passes Away,Tackles Home,Tackles Away,Attacks Home,Attacks Away
Barcelona,SPAIN: LaLiga - Round 26,19.03.2023 22:00,Real Madrid,2,1,2.20,3.40,3.25,1.75,0.62,54%,46%,17,11,7,3,6,4,4,4,17,14,8,1,1,4,14,18,2,5,12,13,0,0,4,3,557,487,495,414,17,14,72,47
Real Madrid,EUROPE: Champions League - Play Offs - 1/8-finals,15.03.2023 22:00,Liverpool,1,0,2.30,4.00,2.75,2.29,0.52,55%,45%,18,9,7,5,6,4,5,0,19,11,5,9,5,2,31,13,5,6,7,17,0,0,0,2,527,455,458,384,18,23,54,45
Real Madrid,SPAIN: LaLiga - Round 25,11.03.2023 15:00,Espanyol,3,1,1.22,6.50,11.00,1.75,1.25,71%,29%,22,10,7,3,7,4,8,3,16,13,7,4,0,0,18,8,2,4,12,17,0,0,3,2,639,260,585,210,9,17,85,15
Betis,SPAIN: LaLiga - Round 24,05.03.2023 22:00,Real Madrid,0,0,4.75,3.80,1.70,0.45,1.32,38%,62%,8,15,4,5,3,5,1,5,14,12,5,3,0,1,9,23,5,4,12,13,0,0,3,4,398,672,335,598,20,17,43,96
Real Madrid,SPAIN: Copa del Rey - Semi-finals,02.03.2023 22:00,Barcelona,0,1,1.85,3.50,4.20,0,0,65%,35%,13,4,0,2,6,1,7,1,16,20,11,2,4,3,25,17,1,0,16,13,0,0,3,3,680,380,598,309,20,16,102,22
Real Madrid,SPAIN: LaLiga - Round 23,25.02.2023 19:30,Atl. Madrid,1,1,1.83,3.50,4.50,1.79,0.32,61%,39%,18,7,7,2,10,3,1,2,7,11,7,4,2,0,19,9,1,6,10,8,0,1,3,3,629,399,571,338,19,20,77,50
Liverpool,EUROPE: Champions League - Play Offs - 1/8-finals,21.02.2023 22:00,Real Madrid,2,5,2.20,3.60,3.10,2.15,1.78,52%,48%,9,9,4,6,3,2,2,1,13,11,4,3,0,0,24,19,1,2,9,9,0,0,1,1,561,535,486,463,8,9,64,32
Osasuna,SPAIN: LaLiga - Round 22,18.02.2023 22:00,Real Madrid,0,2,5.25,3.75,1.70,0.53,1.44,47%,53%,11,11,4,6,6,2,1,3,12,18,5,5,1,5,19,21,4,4,17,7,0,0,3,2,445,506,378,437,15,12,64,51
Real Madrid,SPAIN: LaLiga - Round 21,15.02.2023 22:00,Elche,4,0,1.20,6.50,15.00,4.21,0.57,72%,28%,26,7,13,0,7,4,6,3,13,6,6,4,2,2,15,15,0,9,5,13,0,0,1,3,820,302,753,233,14,14,81,27
Real Madrid,WORLD: FIFA Club World Cup - Final,11.02.2023 21:00,Al-Hilal,5,3,1.20,7.00,11.00,0,0,66%,34%,17,9,11,3,4,4,2,2,9,11,7,0,1,1,24,6,0,6,10,8,0,0,0,0,864,442,809,374,11,15,92,18
