Team 1,Competition info,Date,Team 2,Score 1,Score 2,Bet Winner Home,Bet Draw,Bet Winner Away,Expected Goals xG Home,Expected Goals xG Away,Ball Possession Home,Ball Possession Away,Goal Attempts Home,Goal Attempts Away,Shots on Goal Home,Shots on Goal Away,Shots off Goal Home,Shots off Goal Away,Blocked Shots Home,Blocked Shots Away,Free Kicks Home,Free Kicks Away,Corner Kicks Home,Corner Kicks Away,Offsides Home,Offsides Away,Throwin Home,Throwin Away,Goalkeeper Saves Home,Goalkeeper Saves Away,Fouls Home,Fouls Away,Red Cards Home,Red Cards Away,Yellow Cards Home,Yellow Cards Away,Total Passes Home,Total Passes Away,Completed Passes Home,Completed Passes Away,Tackles Home,Tackles Away,Attacks Home,Attacks Away
Salzburg,AUSTRIA: Bundesliga - Round 22,19.03.2023 18:00,Altach,1,1,1.18,6.50,17.00,3.72,0.74,71%,29%,23,10,6,3,11,6,6,1,0,0,10,4,2,0,0,0,2,5,11,9,0,0,2,5,493,200,408,118,0,0,93,25
LASK,AUSTRIA: Bundesliga - Round 21,12.03.2023 18:00,Salzburg,0,2,4.20,3.50,1.91,0.65,2.56,50%,50%,6,22,1,8,5,12,0,2,0,0,1,5,0,0,0,0,6,1,9,14,0,0,1,2,364,366,250,275,0,0,54,67
Rapid Vienna,AUSTRIA: Bundesliga - Round 20,05.03.2023 18:00,Salzburg,2,4,4.20,3.30,1.95,1.05,1.97,50%,50%,10,8,6,5,3,3,1,0,0,0,3,3,2,4,0,0,1,4,11,19,0,0,2,5,389,390,276,282,0,0,34,59
Salzburg,AUSTRIA: Bundesliga - Round 19,26.02.2023 18:00,Ried,2,0,1.20,6.50,15.00,3.11,0.81,62%,38%,20,13,5,5,8,4,7,4,0,0,12,4,2,1,0,0,5,3,13,14,0,0,1,3,564,343,462,231,0,0,65,42
AS Roma,EUROPE: Europa League - Play Offs - 1/16-finals,23.02.2023 22:00,Salzburg,2,0,1.62,3.75,5.75,1.79,1.38,58%,42%,16,15,6,3,6,5,4,7,11,12,8,0,1,0,34,20,3,4,10,11,0,0,4,0,352,418,255,318,6,7,37,44
Tirol,AUSTRIA: Bundesliga - Round 18,19.02.2023 15:30,Salzburg,1,3,6.00,4.50,1.50,1.24,1.77,45%,55%,14,10,3,6,6,2,5,2,0,0,6,7,1,0,0,0,3,2,10,10,0,0,0,1,294,383,181,273,0,0,50,43
Salzburg,EUROPE: Europa League - Play Offs - 1/16-finals,16.02.2023 19:45,AS Roma,1,0,3.00,3.00,2.63,0.85,1.42,56%,44%,14,10,2,3,6,3,6,4,16,24,2,6,2,1,24,21,3,1,14,10,0,0,3,1,241,209,202,171,5,11,37,44
Salzburg,AUSTRIA: Bundesliga - Round 17,11.02.2023 18:00,A. Lustenau,4,0,1.20,7.50,13.00,1.59,0.16,61%,39%,21,4,9,1,9,1,3,2,0,0,9,1,5,0,0,0,1,5,13,13,0,0,3,2,538,341,447,238,0,0,100,31
Salzburg (Aut),WORLD: Club Friendly,04.02.2023 12:00,Grazer AK (Aut),3,4,1.75,4.20,3.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salzburg,AUSTRIA: OFB Cup - Quarter-finals,03.02.2023 21:45,Sturm Graz,1,2,1.73,3.80,4.75,0,0,52%,48%,15,11,6,3,9,8,0,0,16,16,7,2,0,0,38,44,2,5,0,0,0,0,3,1,0,0,0,0,0,0,79,58
