Team 1,Competition info,Date,Team 2,Score 1,Score 2,Bet Winner Home,Bet Draw,Bet Winner Away,Expected Goals xG Home,Expected Goals xG Away,Ball Possession Home,Ball Possession Away,Goal Attempts Home,Goal Attempts Away,Shots on Goal Home,Shots on Goal Away,Shots off Goal Home,Shots off Goal Away,Blocked Shots Home,Blocked Shots Away,Free Kicks Home,Free Kicks Away,Corner Kicks Home,Corner Kicks Away,Offsides Home,Offsides Away,Throwin Home,Throwin Away,Goalkeeper Saves Home,Goalkeeper Saves Away,Fouls Home,Fouls Away,Red Cards Home,Red Cards Away,Yellow Cards Home,Yellow Cards Away,Total Passes Home,Total Passes Away,Completed Passes Home,Completed Passes Away,Tackles Home,Tackles Away,Attacks Home,Attacks Away
Arsenal,EUROPE: Europa League - Play Offs - 1/8-finals,16.03.2023 22:00,Sporting CP,1,2,1.33,5.50,8.50,2.06,1.29,50%,50%,13,15,8,2,4,6,1,7,14,15,5,7,5,0,20,19,1,7,10,13,0,1,3,3,646,579,536,478,20,23,78,40
Sporting CP,PORTUGAL: Liga Portugal - Round 24,12.03.2023 22:30,Boavista,3,0,1.25,5.50,12.00,1.97,0.17,61%,39%,16,2,5,0,10,1,1,1,10,13,4,1,3,2,19,19,0,2,10,8,0,0,2,1,617,399,548,332,29,22,58,18
Sporting CP,EUROPE: Europa League - Play Offs - 1/8-finals,09.03.2023 19:45,Arsenal,2,2,3.60,3.30,2.10,2.19,2.24,39%,61%,10,14,6,7,3,4,1,3,7,9,3,9,0,1,14,16,5,4,9,6,0,0,2,2,309,651,233,567,14,13,31,80
Portimonense,PORTUGAL: Liga Portugal - Round 23,04.03.2023 20:00,Sporting CP,0,1,9.50,4.50,1.36,0.39,4.36,34%,66%,6,21,4,7,2,10,0,4,14,10,3,7,4,1,8,19,6,4,10,15,0,0,4,2,288,576,211,516,21,13,26,65
Sporting CP,PORTUGAL: Liga Portugal - Round 22,27.02.2023 21:00,Estoril,2,0,1.18,7.00,12.00,2.25,0.13,62%,38%,17,3,8,0,7,2,2,1,9,10,14,5,1,3,20,14,0,6,9,6,0,0,0,0,539,345,470,272,20,14,60,20
Midtjylland,EUROPE: Europa League - Play Offs - 1/16-finals,23.02.2023 19:45,Sporting CP,0,4,4.50,3.40,1.85,0.43,2.06,40%,60%,5,14,3,6,0,3,2,5,12,15,7,4,1,2,18,12,3,3,14,10,1,0,4,2,300,505,226,436,8,4,44,45
Chaves,PORTUGAL: Liga Portugal - Round 21,20.02.2023 21:00,Sporting CP,2,3,8.00,5.00,1.36,0.89,3.97,42%,58%,13,16,5,8,5,2,3,6,14,10,4,4,2,3,18,22,5,3,13,16,0,0,2,3,351,480,281,394,16,26,33,69
Sporting CP,EUROPE: Europa League - Play Offs - 1/16-finals,16.02.2023 22:00,Midtjylland,1,1,1.29,5.25,12.00,2.82,0.25,65%,35%,16,5,2,2,8,3,6,0,16,16,4,4,3,1,22,18,1,1,9,10,0,0,2,3,681,265,582,170,12,11,60,44
Sporting CP,PORTUGAL: Liga Portugal - Round 20,12.02.2023 20:00,FC Porto,1,2,2.40,3.25,2.75,2.14,1.93,56%,44%,15,10,5,3,5,5,5,2,9,12,8,4,3,0,27,13,1,4,11,12,0,0,4,1,454,362,389,279,13,18,63,45
Rio Ave,PORTUGAL: Liga Portugal - Round 19,06.02.2023 23:15,Sporting CP,0,1,9.00,4.33,1.33,0,0,37%,63%,5,8,1,1,3,5,1,2,12,15,4,2,7,0,25,22,0,1,10,14,0,0,1,3,359,606,268,502,16,20,21,44
Sporting CP,PORTUGAL: Liga Portugal - Round 18,01.02.2023 23:15,Braga,5,0,1.85,3.60,4.00,0,0,64%,36%,22,4,9,4,5,0,8,0,12,17,10,1,3,0,20,14,4,4,13,13,0,1,1,2,578,321,507,249,13,19,50,17
Sporting CP,PORTUGAL: League Cup - Play Offs - Final,28.01.2023 21:45,FC Porto,0,2,3.15,3.35,2.30,0,0,54%,46%,10,4,5,3,5,1,0,0,11,19,6,6,0,0,19,19,1,5,14,11,1,0,5,3,0,0,0,0,0,0,58,45
Arouca,PORTUGAL: League Cup - Play Offs - Semi-finals,24.01.2023 21:45,Sporting CP,1,2,10.00,4.90,1.32,0,0,33%,67%,8,15,4,8,4,7,0,0,13,13,4,8,0,0,13,20,6,3,13,7,0,0,6,2,0,0,0,0,0,0,33,69
Sporting CP,PORTUGAL: Liga Portugal - Round 17,20.01.2023 23:15,Vizela,2,1,1.29,5.75,8.00,0,0,63%,37%,21,8,8,3,9,2,4,3,10,11,8,1,1,3,17,13,2,6,10,8,0,0,2,1,613,372,544,289,14,15,73,17
Benfica,PORTUGAL: Liga Portugal - Round 16,15.01.2023 20:00,Sporting CP,2,2,1.80,3.75,4.00,0,0,52%,48%,14,8,8,2,2,3,4,3,12,13,5,2,1,0,15,18,1,6,14,16,0,0,2,5,500,366,423,295,28,23,64,22
Maritimo,PORTUGAL: Liga Portugal - Round 15,08.01.2023 20:00,Sporting CP,1,0,9.50,4.75,1.36,0,0,33%,67%,9,10,2,1,4,5,3,4,15,26,3,8,2,5,24,35,1,1,25,12,0,0,4,4,240,441,154,355,25,20,27,56
Sporting CP,PORTUGAL: Liga Portugal - Round 14,29.12.2022 23:15,Pacos Ferreira,3,0,1.14,7.50,17.00,0,0,61%,39%,15,6,5,1,7,4,3,1,18,22,4,3,4,4,17,13,1,2,18,14,1,0,1,4,554,398,480,338,18,15,42,31
Sporting CP,PORTUGAL: League Cup - Play Offs - Quarter-finals,19.12.2022 22:15,Braga,5,0,1.68,4.00,4.90,0,0,58%,42%,11,7,8,2,3,5,0,0,10,12,5,5,0,0,23,18,2,3,11,14,0,0,3,3,0,0,9,17,0,0,54,61
Sporting CP,PORTUGAL: League Cup - Round 3,13.12.2022 22:45,Maritimo,5,0,1.15,7.00,16.00,0,0,68%,32%,10,5,7,1,3,4,0,0,17,8,3,5,0,0,20,13,1,2,10,22,0,0,0,5,0,0,0,0,0,0,40,34
Rio Ave,PORTUGAL: League Cup - Round 2,07.12.2022 22:30,Sporting CP,0,2,7.10,4.95,1.39,0,0,46%,54%,5,18,1,11,4,7,0,0,17,19,4,5,0,0,17,28,9,1,18,17,0,0,2,3,0,0,0,0,0,0,62,84
