Team 1,Competition info,Date,Team 2,Score 1,Score 2,Bet Winner Home,Bet Draw,Bet Winner Away,Expected Goals xG Home,Expected Goals xG Away,Ball Possession Home,Ball Possession Away,Goal Attempts Home,Goal Attempts Away,Shots on Goal Home,Shots on Goal Away,Shots off Goal Home,Shots off Goal Away,Blocked Shots Home,Blocked Shots Away,Free Kicks Home,Free Kicks Away,Corner Kicks Home,Corner Kicks Away,Offsides Home,Offsides Away,Throwin Home,Throwin Away,Goalkeeper Saves Home,Goalkeeper Saves Away,Fouls Home,Fouls Away,Red Cards Home,Red Cards Away,Yellow Cards Home,Yellow Cards Away,Total Passes Home,Total Passes Away,Completed Passes Home,Completed Passes Away,Tackles Home,Tackles Away,Attacks Home,Attacks Away
Southampton,ENGLAND: Premier League - Round 28,18.03.2023 17:00,Tottenham,3,3,4.50,3.60,1.80,2.4,2.16,50%,50%,19,17,7,3,7,9,5,5,7,15,10,3,2,1,18,12,0,4,13,8,0,0,1,1,457,450,388,377,13,19,52,42
Tottenham,ENGLAND: Premier League - Round 27,11.03.2023 17:00,Nottingham,3,1,1.44,4.75,7.00,2.19,1.68,55%,45%,15,9,7,5,3,2,5,2,11,13,2,10,1,1,14,9,4,4,13,13,0,0,3,1,490,391,426,310,10,8,42,50
Tottenham,EUROPE: Champions League - Play Offs - 1/8-finals,08.03.2023 22:00,AC Milan,0,0,1.80,3.75,4.50,0.51,1.51,50%,50%,9,14,2,3,3,5,4,6,13,18,6,0,0,1,18,15,3,2,18,13,1,0,5,1,483,430,406,365,22,16,53,24
Wolves,ENGLAND: Premier League - Round 26,04.03.2023 17:00,Tottenham,1,0,3.20,3.30,2.30,0.48,1.53,46%,54%,8,22,5,6,3,7,0,9,17,12,4,8,3,1,11,20,6,4,11,18,0,0,1,1,421,473,343,406,18,5,33,52
Sheffield Utd,ENGLAND: FA Cup - 1/8-finals,01.03.2023 21:55,Tottenham,1,0,6.00,3.80,1.60,0,0,47%,53%,7,17,1,4,3,7,3,6,8,10,2,4,3,0,20,32,4,0,7,8,0,0,2,1,433,487,341,397,22,14,49,67
Tottenham,ENGLAND: Premier League - Round 25,26.02.2023 15:30,Chelsea,2,0,3.00,3.30,2.45,0.77,0.44,41%,59%,8,10,3,2,4,5,1,3,12,10,4,4,0,2,11,19,2,1,10,10,0,0,2,3,410,596,337,532,27,19,48,67
Tottenham,ENGLAND: Premier League - Round 24,19.02.2023 18:30,West Ham,2,0,1.83,3.40,4.50,1.58,0.51,57%,43%,16,6,6,1,4,4,6,1,10,13,4,7,0,0,15,18,1,4,16,10,0,0,2,1,544,403,460,302,19,18,46,47
AC Milan,EUROPE: Champions League - Play Offs - 1/8-finals,14.02.2023 22:00,Tottenham,1,0,2.45,3.20,3.00,1.62,0.53,49%,51%,9,12,4,3,4,5,1,4,17,17,3,8,1,4,14,19,3,3,17,13,0,0,2,2,417,447,337,369,13,16,39,58
Leicester,ENGLAND: Premier League - Round 23,11.02.2023 17:00,Tottenham,4,1,3.50,3.75,2.00,1.45,1.21,50%,50%,15,11,7,4,6,6,2,1,10,14,1,5,2,2,22,14,3,3,14,9,0,0,5,2,454,468,356,387,27,10,30,35
Tottenham,ENGLAND: Premier League - Round 22,05.02.2023 18:30,Manchester City,1,0,3.80,3.80,1.91,0,0,36%,64%,12,15,3,5,5,5,4,5,15,19,4,6,2,1,10,11,5,2,19,14,1,0,4,3,301,543,224,475,14,19,33,69
Preston,ENGLAND: FA Cup - 1/16-finals,28.01.2023 20:00,Tottenham,0,3,7.00,4.33,1.50,0,0,32%,68%,5,13,1,6,2,3,2,4,13,4,2,9,0,0,20,15,3,1,6,12,0,0,1,0,300,652,207,570,20,11,23,67
Fulham,ENGLAND: Premier League - Round 21,23.01.2023 22:15,Tottenham,0,1,3.25,3.75,2.10,0,0,53%,47%,10,10,5,3,4,4,1,3,8,12,3,8,2,0,29,19,2,5,10,10,0,0,1,3,485,446,398,349,19,23,24,13
Manchester City,ENGLAND: Premier League - Round 7,19.01.2023 22:00,Tottenham,4,2,1.50,4.50,6.00,0,0,58%,42%,16,9,6,3,5,4,5,2,15,10,8,3,0,1,22,15,1,2,10,14,0,0,1,2,583,424,511,342,15,16,63,33
Tottenham,ENGLAND: Premier League - Round 20,15.01.2023 18:30,Arsenal,0,2,3.25,3.50,2.20,0,0,51%,49%,17,14,7,5,4,5,6,4,16,13,4,3,1,2,28,19,3,7,16,15,0,0,4,2,461,456,381,384,17,13,46,65
Tottenham,ENGLAND: FA Cup - 1/32-finals,07.01.2023 14:30,Portsmouth,1,0,1.17,8.00,13.00,0,0,72%,28%,18,3,1,1,8,1,9,1,13,9,9,3,1,2,17,17,1,0,9,11,0,0,1,1,678,266,605,178,14,16,87,22
Crystal Palace,ENGLAND: Premier League - Round 19,04.01.2023 22:00,Tottenham,0,4,3.30,3.40,2.20,0,0,47%,53%,19,14,4,6,9,3,6,5,9,11,10,4,1,2,13,15,2,4,11,8,0,0,1,2,472,545,387,470,22,22,71,43
Tottenham,ENGLAND: Premier League - Round 18,01.01.2023 16:00,Aston Villa,0,2,1.65,4.20,5.25,0,0,59%,41%,6,13,2,4,2,4,2,5,9,17,5,3,1,0,21,21,2,2,15,10,0,0,4,3,579,403,498,321,14,18,56,26
Brentford,ENGLAND: Premier League - Round 17,26.12.2022 14:30,Tottenham,2,2,3.30,3.60,2.10,0,0,39%,61%,9,15,5,8,3,2,1,5,13,11,6,5,1,4,16,23,6,3,11,10,0,0,3,1,335,511,213,416,16,18,41,56
